ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
21774343983,Abame Kemeja Wanita Best Seller Yada List Shirt,"269,0RB",410,Abame Official Shop,10%,Rp26.900,https://shopee.co.id/product/56883126/21774343983,https://s.shopee.co.id/30kvPYLia2
24056122080,Abame Kemeja Wanita Kei Shirt,"206,3RB",210,Abame Official Shop,10%,Rp20.625,https://shopee.co.id/product/56883126/24056122080,https://s.shopee.co.id/3B4LbrL5F5
20083457223,Abame Galea Vest,"215,0RB",13,Abame Official Shop,10%,Rp21.500,https://shopee.co.id/product/56883126/20083457223,https://s.shopee.co.id/3LNloAKRu8
12908737517,Abame Pashmina Inner,"85,5RB",74,Abame Official Shop,10%,Rp8.550,https://shopee.co.id/product/56883126/12908737517,https://s.shopee.co.id/3VhC0TJoZB
8815634430,Abame Yura Shirt,"199,0RB",220,Abame Official Shop,10%,Rp19.900,https://shopee.co.id/product/56883126/8815634430,https://s.shopee.co.id/3g0cCmJBEE
4180554540,Abame Rexa Shirt,"220,0RB",307,Abame Official Shop,10%,Rp22.000,https://shopee.co.id/product/56883126/4180554540,https://s.shopee.co.id/3qK2P5IXtH
16230276161,Abame Kemeja Wanita Lyan Shirt,"179,0RB",162,Abame Official Shop,12%,Rp21.480,https://shopee.co.id/product/56883126/16230276161,https://s.shopee.co.id/40dSbOHuYK
22464489828,Abame Atasan Noah  Jacket,"279,0RB",44,Abame Official Shop,10%,Rp27.900,https://shopee.co.id/product/56883126/22464489828,https://s.shopee.co.id/4AwsnhHHDN
28718023673,Abame Atasan Wanita Saga Tees,"181,3RB",24,Abame Official Shop,8%,Rp14.504,https://shopee.co.id/product/56883126/28718023673,https://s.shopee.co.id/4LGJ00GdsQ
23927137777,Abame Dress Wanita Amor Long Tunic,"182,5RB",20,Abame Official Shop,10%,Rp18.250,https://shopee.co.id/product/56883126/23927137777,https://s.shopee.co.id/4VZjCJG0XT
24961496909,Abame Kaftan Wanita Rama Kaftan,"167,5RB",43,Abame Official Shop,10%,Rp16.750,https://shopee.co.id/product/56883126/24961496909,https://s.shopee.co.id/4ft9OcFNCW
23770922330,Abame Dress Wanita Ivone Kaftan,"194,5RB",20,Abame Official Shop,10%,Rp19.450,https://shopee.co.id/product/56883126/23770922330,https://s.shopee.co.id/4qCZavEjrZ
29109894262,Abelly - Sofia Syari ( French Khimar Syar’i ),"95,2RB",10RB+,Abelly Official Store,15%,Rp14.280,https://shopee.co.id/product/1315536161/29109894262,https://s.shopee.co.id/50VznEE6Wc
51557718436,Abelly - Sofia Syari NEW COLOR ( French Khimar Syar'i ),"119,0RB",568,Abelly Official Store,15%,Rp17.850,https://shopee.co.id/product/1315536161/51557718436,https://s.shopee.co.id/5ApPzXDTBf
25946013941,Abelly- Ameena Viscose Modal Pashmina (Pashmina Viscose),"59,0RB",1RB+,Abelly Official Store,18%,Rp10.620,https://shopee.co.id/product/1315536161/25946013941,https://s.shopee.co.id/17Jq2X8fg
51656240716,Abelly - Soraya Syari ( French Square Syar’i ) by Arabian Voile,"84,8RB",821,Abelly Official Store,15%,Rp12.720,https://shopee.co.id/product/1315536161/51656240716,https://s.shopee.co.id/BQk2LWVKj
27222977428,Abelly - Bundling Zenna Jersey Instan + Inner Bandana Karet,"135,0RB",0,Abelly Official Store,15%,Rp20.250,https://shopee.co.id/product/1315536161/27222977428,https://s.shopee.co.id/LkAEeVrzm
56608798916,Abelly - Sahira Syari ( French Square Syar’i ) by Viscose,"125,1RB",106,Abelly Official Store,15%,Rp18.765,https://shopee.co.id/product/1315536161/56608798916,https://s.shopee.co.id/W3aQxVEep
28690868324,Abelly - Hawa Pashban (Pashmina Bandana) Bahan Crincle Airflow / Free Cadar Tali Crincle,"51,0RB",2RB+,Abelly Official Store,15%,Rp7.650,https://shopee.co.id/product/1315536161/28690868324,https://s.shopee.co.id/gN0dGUbJs
55159613223,Abelly - Hefa Pashban ( Pashmina Bandana ) Bahan Maheen Anti UV / Mahen,"161,1RB",12,Abelly Official Store,15%,Rp24.165,https://shopee.co.id/product/1315536161/55159613223,https://s.shopee.co.id/qgQpZTxyv
41926471698,Abelly - Namiyah Khiban Shoulders ( Crinkle Khiban Shoulder Syar’i ),"88,8RB",204,Abelly Official Store,11%,Rp9.768,https://shopee.co.id/product/1315536161/41926471698,https://s.shopee.co.id/10zr1sTKdy
53658810074,Abelly - Sabiya Syari ( French Square Syar’i ) by Mahen Anti UV,"161,1RB",28,Abelly Official Store,15%,Rp24.165,https://shopee.co.id/product/1315536161/53658810074,https://s.shopee.co.id/1BJHEBShJ1
54006400359,Bella Alisha - Pashban (Pashmina Bandana) Rayya Instan Anti UV,"78,4RB",137,Bella Alisha Official Shop,10%,Rp7.838,https://shopee.co.id/product/49260607/54006400359,https://s.shopee.co.id/1LchQUS3y4
26287379596,Abelly - Safwa Pashmina Bandana Syar'I (Hijab Umroh & Haji ),"149,0RB",328,Abelly Official Store,23%,Rp34.270,https://shopee.co.id/product/1315536161/26287379596,https://s.shopee.co.id/1Vw7cnRQd7
27321700260,Abelly - Zena Jersey Instan Pashmina With Inner (Get 3 120k),"57,0RB",206,Abelly Official Store,15%,Rp8.550,https://shopee.co.id/product/1315536161/27321700260,https://s.shopee.co.id/1gFXp6QnIA
52659556702,Lozy Hijab - Zafi Pashmina Bandana Instan (Khiban Khimar Bandana Shawl Bandana Syari Bahan Neosoft Anti UV),"349,0RB",31,Lozy Hijab Official Shop,3%,Rp10.470,https://shopee.co.id/product/255402508/52659556702,https://s.shopee.co.id/1qYy1PQ9xD
41614273073,Abelly - Hijab French Khimar Instan Syari Jumbo 4 in 1 Bisa Cadar Saida Series Umroh,"99,0RB",102,Abelly Official Store,15%,Rp14.850,https://shopee.co.id/product/1315536161/41614273073,https://s.shopee.co.id/20sODiPWcG
28109900064,Abelly - Hazel Oval Shawl & Standart Shawl ( Pashmina Oval Rayon Spandex &  Pashmina Rayon Spandex ),"78,0RB",241,Abelly Official Store,18%,Rp14.040,https://shopee.co.id/product/1315536161/28109900064,https://s.shopee.co.id/2BBoQ1OtHJ
42114270519,Abelly - French Square Syar’i Ceruti – Khimar Bandana Segi Empat Instan Tali Daily Wear Coklat Tua,"99,0RB",22,Abelly Official Store,15%,Rp14.850,https://shopee.co.id/product/1315536161/42114270519,https://s.shopee.co.id/2LVEcKOFwM
40223639063,Abelly - Noora French Square Ban Jilbab Syar'i Segiempat Lembut & Nyaman Bahan Airflow Crinkle 150x150cm [Free Cadar Tali],"89,0RB",71,Abelly Official Store,13%,Rp11.570,https://shopee.co.id/product/1315536161/40223639063,https://s.shopee.co.id/2VoeodNcbP
25840268337,Abelly - Bundling Myskah Bergo Instan + Scrunchie,"135,0RB",0,Abelly Official Store,15%,Rp20.250,https://shopee.co.id/product/1315536161/25840268337,https://s.shopee.co.id/809bMk2gRU
27359899295,Abelly - 100K get 3 Camilla Polly Cotton ( Polycotton segi empat ),"34,0RB",1RB+,Abelly Official Store,15%,Rp5.100,https://shopee.co.id/product/1315536161/27359899295,https://s.shopee.co.id/8AT1Z3236X
52600100674,Abelly Hijab Voal Motif Premium Lasercut Segi Empat Muslim Kerudung Bahan Voal Premium Adem Ukuran Standar 110x110 cm Syar'i 130x130 cm,"37,0RB",110,Abelly Official Store,15%,Rp5.550,https://shopee.co.id/product/1315536161/52600100674,https://s.shopee.co.id/8KmRlM1Pla
27170077517,Abelly - Camilla Polly Cotton 75K get 3 ( Polycotton segi empat Basic ),"75,0RB",17,Abelly Official Store,15%,Rp11.250,https://shopee.co.id/product/1315536161/27170077517,https://s.shopee.co.id/8V5rxf0mQd
24939815553,Abelly - Nera Hijab Pashmina Oval Tali (Get 3 135k),"57,0RB",113,Abelly Official Store,15%,Rp8.550,https://shopee.co.id/product/1315536161/24939815553,https://s.shopee.co.id/8fPI9y095g
40414258451,Abelly - Jilbab Kerudung Khimar French Khimar Niqob Cadar 2 In 1,"129,0RB",31,Abelly Official Store,15%,Rp19.350,https://shopee.co.id/product/1315536161/40414258451,https://s.shopee.co.id/8piiMGzVkj
51456665161,Abelly - Mukena Dewasa Pearl Collection X Aisyahelly Elly Silk Series,"289,0RB",8,Abelly Official Store,15%,Rp43.350,https://shopee.co.id/product/1315536161/51456665161,https://s.shopee.co.id/9028YZysPm
44026422225,Abelly - Hana French Khimar Syari ( Crinkle French Khimar Syar’i ),"88,0RB",7,Abelly Official Store,11%,Rp9.680,https://shopee.co.id/product/1315536161/44026422225,https://s.shopee.co.id/9ALYksyF4p
24340273241,Abelly - Bundling Hijab Khanan Segitiga Inner Jersey + Inner Bandana Karet,"135,0RB",1,Abelly Official Store,15%,Rp20.250,https://shopee.co.id/product/1315536161/24340273241,https://s.shopee.co.id/9KeyxBxbjs
24790273336,Abelly - Bundling Zenna Jersey Instan + Fateen Shawl,"135,0RB",2,Abelly Official Store,15%,Rp20.250,https://shopee.co.id/product/1315536161/24790273336,https://s.shopee.co.id/9UyP9UwyOv
26472968156,Abelly - Bundling Fateen Shawl + Inner Bandana Karet,"135,0RB",0,Abelly Official Store,15%,Rp20.250,https://shopee.co.id/product/1315536161/26472968156,https://s.shopee.co.id/9fHpLnwL3y
24212284388,Abinaya - SEKAR DRESS | raya collection mewah cantik elegan kondangan pesta kekinian brokat lace,"490,0RB",1RB+,ABINAYA Official Shop,4%,Rp19.600,https://shopee.co.id/product/190664503/24212284388,https://s.shopee.co.id/9pbFY6vhj1
44653152435,Abinaya - PAGODA DRESS | raya collection,"630,0RB",45,ABINAYA Official Shop,4%,Rp25.200,https://shopee.co.id/product/190664503/44653152435,https://s.shopee.co.id/9zufkPv4O4
17174162484,ABINAYA - Mayleen Dress | Dress Kondangan Pesta Brokat Mewah Elegan,"385,0RB",7RB+,ABINAYA Official Shop,5%,Rp19.250,https://shopee.co.id/product/190664503/17174162484,https://s.shopee.co.id/AAE5wiuR37
29076747267,"BYDIANAFZ | ALENA DRESS PART 1,11,12,14,15 NAYA DRESS | GAMIS RAYON PREMIUM | GAMIS MUSLIMAH BUSUI","266,8RB",7RB+,DYN Official Shop,7%,Rp18.673,https://shopee.co.id/product/1075579/29076747267,https://s.shopee.co.id/AKXW91tniA
46556351553,Lausboutique-Bodo Lontara-Seri Jasmine-Tunik Bordir Raya,"395,0RB",442,Lausboutique Official Shop,5%,Rp19.750,https://shopee.co.id/product/33662825/46556351553,https://s.shopee.co.id/AUqwLKtAND
44706317412,ABINAYA LUXURY BY LAKHSANA | Kemeja Batik Pria Premium  Halus Lembut Material Katun Primisima Top Gread Lapis Furing Lembut Warna Coklat Mahogany Anti Luntur,"355,0RB",104,Lakhsana Batik Official Store,7%,Rp24.850,https://shopee.co.id/product/1082243019/44706317412,https://s.shopee.co.id/5L8qBqCprE
41129185609,MARVES Dania Gamis Wanita Dewasa Sarimbit Baju Muslim Perempuan Free Pashmina Size M L XL,"274,3RB",134,Marves Official Shop,10%,Rp27.426,https://shopee.co.id/product/431660461/41129185609,https://s.shopee.co.id/5VSGO9CCWH
22604468931,ABINAYA- Dafina kain Lilit  | kan lilit kondangan pesta cantik,"190,0RB",1RB+,ABINAYA Official Shop,3%,Rp5.700,https://shopee.co.id/product/190664503/22604468931,https://s.shopee.co.id/5flgaSBZBK
54851891153,AIRA BATIK -  Erika Tunik Brukat Premium Raya Lebaran,"207,0RB",504,Aira Batik Official Store,3%,Rp6.210,https://shopee.co.id/product/90521361/54851891153,https://s.shopee.co.id/5q56mlAvqN
24183997730,ABINAYA - GEULIS ONESET | mewah cantik elegan kondangan pesta kekinian brokat lace,"500,0RB",316,ABINAYA Official Shop,7%,Rp35.000,https://shopee.co.id/product/190664503/24183997730,https://s.shopee.co.id/60OWz4AIVQ
18055839940,Abinaya - Safiyya Lace OUTER | kondangan pesta brokat lace,"255,0RB",2RB+,ABINAYA Official Shop,5%,Rp12.750,https://shopee.co.id/product/190664503/18055839940,https://s.shopee.co.id/6AhxBN9fAT
54204004439,Abinaya - RAHAYU WOMEN,"325,0RB",240,ABINAYA Official Shop,4%,Rp13.000,https://shopee.co.id/product/190664503/54204004439,https://s.shopee.co.id/6L1NNg91pW
23088020948,Abinaya - Lady Blouse - kutubaru blouse tunik brukat modern,"230,0RB",2RB+,ABINAYA Official Shop,5%,Rp11.500,https://shopee.co.id/product/190664503/23088020948,https://s.shopee.co.id/6VKnZz8OUZ
25340646093,ABINAYA - MALA ONESET | oneset melayu,"405,0RB",267,ABINAYA Official Shop,5%,Rp20.250,https://shopee.co.id/product/190664503/25340646093,https://s.shopee.co.id/6feDmI7l9c
19638296842,ABINAYA - Bian Oneset | baju kondangan pesta,"325,0RB",421,ABINAYA Official Shop,2%,Rp6.500,https://shopee.co.id/product/190664503/19638296842,https://s.shopee.co.id/6pxdyb77of
28143505005,SHABA DRESS | Gamis Dress Muslimah Wanita Premium Silk Modern,"295,0RB",232,ABINAYA Official Shop,3%,Rp8.850,https://shopee.co.id/product/190664503/28143505005,https://s.shopee.co.id/70H4Au6UTi
24166231516,ABINAYA - Gea outer | kondangan pesta organza,"230,0RB",605,ABINAYA Official Shop,2%,Rp4.600,https://shopee.co.id/product/190664503/24166231516,https://s.shopee.co.id/7AaUND5r8l
27721607674,ABINAYA - AUDY OUTER | outer lebaran eid fitri Dress Kondangan Pesta Vintge Brokat Mewah Elegan Lebaran Simplen,"415,0RB",209,ABINAYA Official Shop,5%,Rp20.750,https://shopee.co.id/product/190664503/27721607674,https://s.shopee.co.id/7KtuZW5Dno
56453491375,ABINAYA | JUWITA - WOMEN READY STOCK,"350,0RB",290,ABINAYA Official Shop,5%,Rp17.500,https://shopee.co.id/product/190664503/56453491375,https://s.shopee.co.id/7VDKlp4aSr
6632070835,Lizahrani - New Classic Dress / Dress Brukat,"445,0RB",1RB+,Lizahrani Official Shop,8%,Rp35.600,https://shopee.co.id/product/3002844/6632070835,https://s.shopee.co.id/7fWky83x7u
25776031517,ABINAYA - Selia Dress | Mewah Cantik Elegan Kekinian Gamis Panjang Serut Silk Nyaman Wanita Formal Pesta Kondangan,"275,0RB",376,ABINAYA Official Shop,5%,Rp13.750,https://shopee.co.id/product/190664503/25776031517,https://s.shopee.co.id/7pqBAR3Jmx
55105672099,ABINAYA - KAYLA WOMEN | rayacollection,"390,0RB",177,ABINAYA Official Shop,4%,Rp15.600,https://shopee.co.id/product/190664503/55105672099,https://s.shopee.co.id/2qRVDFMLw0
40052435370,Lizahrani - Rosalyn Dress BROKEN WHITE [Hanya Dress Dewasa]/ Dress Lamaran/ Dress Wisuda / Dress Code Pernikahan/ Dress Lebaran,"395,0RB",86,Lizahrani Official Shop,7%,Rp27.650,https://shopee.co.id/product/3002844/40052435370,https://s.shopee.co.id/2g850wMzGz
13432895740,ABINAYA - ASHILA DRESS | BROKAT VINTAGE raya collection dress bordir dress kekinian lebaran eid dress panjang busui dan wudhu friendly brokat mewah pesta kondangan murah klasik elegan motif polos adem kekinianB,"335,0RB",464,ABINAYA Official Shop,4%,Rp13.400,https://shopee.co.id/product/190664503/13432895740,https://s.shopee.co.id/3B4LbrL5G6
50059943103,Nobby Abinaya Bergo Instant Bahan Jersey Premium,"179,5RB",0,NOBBY Official Shop,1%,Rp1.795,https://shopee.co.id/product/82360288/50059943103,https://s.shopee.co.id/30kvPYLib5
40406662564,ABINAYA - Bina Outer | Dress Kondangan Pesta Vintge Brokat Mewah Elegan,"285,0RB",88,ABINAYA Official Shop,6%,Rp17.100,https://shopee.co.id/product/190664503/40406662564,https://s.shopee.co.id/3VhC0TJoaC
46352662956,Abinaya - Zui Tuniche | raya collection tunik melayu Outer Kondangan Pesta Vintage Brokat Mewah Elegan Formal dan Informal,"285,0RB",3,ABINAYA Official Shop,4%,Rp11.400,https://shopee.co.id/product/190664503/46352662956,https://s.shopee.co.id/3LNloAKRvB
25970343526,Abinaya- ALEZA FAMILY SET (PILIH WARNA) | Dress Kondangan Pesta Vintge Brokat Mewah Elegan sarimbit keluarga lebaran idul fitri cantik katun motif pattern tulle brokat eid fitr eid adha mudik travel,"210,0RB",263,ABINAYA Official Shop,7%,Rp14.700,https://shopee.co.id/product/190664503/25970343526,https://s.shopee.co.id/3qK2P5IXuI
14562542234,ABINAYA - Gempi Set,"245,0RB",256,ABINAYA Official Shop,10%,Rp24.500,https://shopee.co.id/product/190664503/14562542234,https://s.shopee.co.id/3g0cCmJBFH
