ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
26228726514,Adeola Scarf - Melayu Series - Maysa Kurung - Baju Kurung - Brown,"649,5RB",4,Adeola Scarf Official Shop,10%,Rp64.950,https://shopee.co.id/product/183781612/26228726514,https://s.shopee.co.id/3g0cD6Axo9
24240832508,Adeola Scarf - Monochrome Series Amara Blouse - Blouse Bordir - Blouse Wanita - Amara,"378,0RB",26,Adeola Scarf Official Shop,10%,Rp37.800,https://shopee.co.id/product/183781612/24240832508,https://s.shopee.co.id/3VhC0nBb98
40520546922,Adeola Scarf - Milla Top - Cardigan Embroidery - Outer Wanita - Soft Coral,"199,0RB",0,Adeola Scarf Official Shop,10%,Rp19.900,https://shopee.co.id/product/183781612/40520546922,https://s.shopee.co.id/3LNloUCEU7
40320550413,Adeola Scarf - Milla Top - Cardigan Embroidery - Outer Wanita - Pearl Whisper,"199,0RB",1,Adeola Scarf Official Shop,10%,Rp19.900,https://shopee.co.id/product/183781612/40320550413,https://s.shopee.co.id/3B4LcBCrp6
50202047228,Adeola Scarf - Denim Series Sada Blouse - Blouse Wanita - Blouse Denim - Sada,"254,6RB",1,Adeola Scarf Official Shop,8%,Rp20.365,https://shopee.co.id/product/183781612/50202047228,https://s.shopee.co.id/30kvPsDVA5
25120772747,Adeola Scarf - Radwah Prayer Robe - Mukena Motif - Mukena Printing - Navy,"278,8RB",0,Adeola Scarf Official Shop,10%,Rp27.880,https://shopee.co.id/product/183781612/25120772747,https://s.shopee.co.id/2qRVDZE8V4
28844251103,Adeola Scarf Defect Sale - Khareem Tunik - Tunik Wanita,"229,5RB",16,Adeola Scarf Official Shop,5%,Rp11.475,https://shopee.co.id/product/183781612/28844251103,https://s.shopee.co.id/2g851GElq3
56902991059,Adeola Scarf - Striped Serenity Series - Kemeja Wanita - Pink,"257,5RB",0,Adeola Scarf Official Shop,5%,Rp12.876,https://shopee.co.id/product/183781612/56902991059,https://s.shopee.co.id/5ApPzr5FlY
24942464852,Adeola Scarf - Balik Kampung Prayer Robe - Mukena Motif - Mukena Printing - Mocha Mousse,"319,6RB",9,Adeola Scarf Official Shop,10%,Rp31.960,https://shopee.co.id/product/183781612/24942464852,https://s.shopee.co.id/50VznY5t6X
50552046762,Adeola Scarf - Denim Series Jenna Blouse - Blouse Wanita - Blouse Denim - Jenna,"254,6RB",2,Adeola Scarf Official Shop,10%,Rp25.456,https://shopee.co.id/product/183781612/50552046762,https://s.shopee.co.id/4qCZbF6WRW
29878741167,Adeola Scarf - Melayu Series - Leeya Set - One Set - Maroon,"649,5RB",0,Adeola Scarf Official Shop,10%,Rp64.950,https://shopee.co.id/product/183781612/29878741167,https://s.shopee.co.id/4ft9Ow79mV
26927353899,Adeola Scarf - Ivy Pashmina Viscose - Pashmina Viscose - Clay,"75,6RB",3,Adeola Scarf Official Shop,10%,Rp7.562,https://shopee.co.id/product/183781612/26927353899,https://s.shopee.co.id/4VZjCd7n7U
25720905458,Adeola Scarf - Radwah Prayer Robe - Mukena Motif - Mukena Printing - Black,"278,8RB",5,Adeola Scarf Official Shop,10%,Rp27.880,https://shopee.co.id/product/183781612/25720905458,https://s.shopee.co.id/4LGJ0K8QST
57201139058,Adeola Scarf - Serein Series - Kemeja Wanita - Champagne,"262,3RB",1,Adeola Scarf Official Shop,10%,Rp26.230,https://shopee.co.id/product/183781612/57201139058,https://s.shopee.co.id/4Awso193nS
45156119182,Adeola Scarf - Luna Striped Crop Blouse - Kemeja Wanita - Blue,"292,0RB",0,Adeola Scarf Official Shop,5%,Rp14.600,https://shopee.co.id/product/183781612/45156119182,https://s.shopee.co.id/40dSbi9h8R
57602986831,Adeola Scarf - Striped Serenity Series - Kemeja Wanita - Blue,"257,5RB",0,Adeola Scarf Official Shop,5%,Rp12.876,https://shopee.co.id/product/183781612/57602986831,https://s.shopee.co.id/1BJHEVKTsu
27804485574,Adeola Scarf - Emily Long Cardigan - Cardigan Korean Style - Outer Wanita - Blue Ocean,"238,8RB",3,Adeola Scarf Official Shop,10%,Rp23.880,https://shopee.co.id/product/183781612/27804485574,https://s.shopee.co.id/10zr2CL7Dt
24492353782,Adeola Scarf - Melayu Series - Svara Kurung - Baju Kurung - Powder Blue,"649,5RB",9,Adeola Scarf Official Shop,10%,Rp64.950,https://shopee.co.id/product/183781612/24492353782,https://s.shopee.co.id/qgQptLkYs
28628726282,Adeola Scarf - Melayu Series - Leeya Set - One Set - Pinkish,"649,5RB",5,Adeola Scarf Official Shop,10%,Rp64.950,https://shopee.co.id/product/183781612/28628726282,https://s.shopee.co.id/gN0daMNtr
27278731477,Adeola Scarf - Melayu Series - Leeya Set - One Set - Navy,"649,5RB",0,Adeola Scarf Official Shop,10%,Rp64.950,https://shopee.co.id/product/183781612/27278731477,https://s.shopee.co.id/W3aRHN1Eq
44128826239,Adeola Scarf Defect Sale - Serein Series - Kemeja Wanita,"201,3RB",1,Adeola Scarf Official Shop,5%,Rp10.065,https://shopee.co.id/product/183781612/44128826239,https://s.shopee.co.id/LkAEyNeZp
43227196587,Adeola Scarf - Striped Serenity Series - Kemeja Wanita - Black,"257,5RB",2,Adeola Scarf Official Shop,5%,Rp12.876,https://shopee.co.id/product/183781612/43227196587,https://s.shopee.co.id/BQk2fOHuo
53902042030,Adeola Scarf - Denim Series Leya Blouse - Blouse Wanita - Blouse Denim - Leya,"254,6RB",3,Adeola Scarf Official Shop,8%,Rp20.365,https://shopee.co.id/product/183781612/53902042030,https://s.shopee.co.id/17JqMOvFn
26127358428,Adeola Scarf - Alaia Silk Skirt - Rok Wanita - Gray,"179,4RB",2,Adeola Scarf Official Shop,10%,Rp17.940,https://shopee.co.id/product/183781612/26127358428,https://s.shopee.co.id/2VoeoxFPBI
41228813804,Adeola Scarf Defect Sale - Striped Serenity Series - Kemeja Wanita,"201,6RB",2,Adeola Scarf Official Shop,5%,Rp10.080,https://shopee.co.id/product/183781612/41228813804,https://s.shopee.co.id/2LVEceG2WH
45206317852,Adeola Scarf Defect Sale - Rose Embroidery Series - Blouse Wanita,"252,5RB",11,Adeola Scarf Official Shop,5%,Rp12.623,https://shopee.co.id/product/183781612/45206317852,https://s.shopee.co.id/2BBoQLGfrG
56152987149,Adeola Scarf - Striped Serenity Series - Kemeja Wanita - Navy,"257,5RB",0,Adeola Scarf Official Shop,5%,Rp12.876,https://shopee.co.id/product/183781612/56152987149,https://s.shopee.co.id/20sOE2HJCF
24591860458,Adeola Scarf - Alaia Silk Skirt - Rok Wanita - Black,"179,4RB",1,Adeola Scarf Official Shop,10%,Rp17.940,https://shopee.co.id/product/183781612/24591860458,https://s.shopee.co.id/1qYy1jHwXE
45206316676,Adeola Scarf Defect Sale - Denim Series - Blouse Wanita,"201,6RB",1,Adeola Scarf Official Shop,5%,Rp10.080,https://shopee.co.id/product/183781612/45206316676,https://s.shopee.co.id/1gFXpQIZsD
16004135392,ADZIKRI - Mukena Dewasa Premium Sutera Paris Ameera,"550,0RB",1RB+,Adzikri Official Shop,5%,Rp27.500,https://shopee.co.id/product/378927304/16004135392,https://s.shopee.co.id/1Vw7d7JDDC
14339258957,ADZIKRI - Mukena Dewasa Mahar Premium Khadijah Prada Tulip,"550,0RB",690,Adzikri Official Shop,5%,Rp27.500,https://shopee.co.id/product/378927304/14339258957,https://s.shopee.co.id/1LchQoJqYB
51506343712,ADZIKRI - Mukena Dewasa Premium Khayra Katun Paris Menutup Dagu,"295,0RB",6,Adzikri Official Shop,5%,Rp14.750,https://shopee.co.id/product/378927304/51506343712,https://s.shopee.co.id/9ALYlCq1ei
52406100150,ADZIKRI - Mukena Dewasa Premium Lace Armania Silk Renda Mewah 2in1,"395,0RB",26,Adzikri Official Shop,5%,Rp19.750,https://shopee.co.id/product/378927304/52406100150,https://s.shopee.co.id/9028Ytqezh
