ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
18978312551,AIRUMI - Scarves Waterfall Series,"187,1RB",51,Airumi Official Store,7%,Rp13.094,https://shopee.co.id/product/938641565/18978312551,https://s.shopee.co.id/8V5ryRnApe
22938238593,AIRUMI - Series Bunga Mekar,"230,3RB",45,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/22938238593,https://s.shopee.co.id/8KmRm8noAd
25430994527,AIRUMI _ Brand Identity,"230,3RB",8,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25430994527,https://s.shopee.co.id/8piiN3lu9k
18178275320,AIRUMI - Scarves Lovely Montains Series,"230,3RB",54,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/18178275320,https://s.shopee.co.id/8fPIAkmXUj
25928453279,AIRUMI - Series In The World,"230,3RB",25,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25928453279,https://s.shopee.co.id/9ALYlfkdTq
24827432985,AIRUMI - Series Wonderland Indonesia,"230,3RB",49,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/24827432985,https://s.shopee.co.id/9028ZMlGop
24384164541,AIRUMI - Series Amsterdam,"230,3RB",140,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/24384164541,https://s.shopee.co.id/9UyPAHjMnw
42272930404,AIRUMI - Scarves Garden Of Marocco,"230,3RB",14,Airumi Official Store,8%,Rp18.424,https://shopee.co.id/product/938641565/42272930404,https://s.shopee.co.id/9Keyxyk08v
25178747334,AIRUMI - Defect Minor kecil,"189,0RB",53,Airumi Official Store,7%,Rp13.230,https://shopee.co.id/product/938641565/25178747334,https://s.shopee.co.id/9pbFYti682
25320074866,AIRUMI - Series Trumbu Karang,"230,3RB",14,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25320074866,https://s.shopee.co.id/9fHpMaijT1
23559462483,AIRUMI - Series Monogram,"187,1RB",9,Airumi Official Store,7%,Rp13.094,https://shopee.co.id/product/938641565/23559462483,https://s.shopee.co.id/AAE5xVgpS8
25870120775,AIRUMI - Series 7 Bunga,"230,3RB",18,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25870120775,https://s.shopee.co.id/9zuflChSn7
25228462584,AIRUMI - Series Everst,"230,3RB",14,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25228462584,https://s.shopee.co.id/AUqwM7fYmE
24428789451,AIRUMI - Scarves Monogram 2 Series,"230,3RB",15,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/24428789451,https://s.shopee.co.id/AKXW9ogC7D
26457210271,AIRUMI - Polos Paris Ori Japan,"117,5RB",39,Airumi Official Store,7%,Rp8.225,https://shopee.co.id/product/938641565/26457210271,https://s.shopee.co.id/BQk38ItkG
25819521744,AIRUMI - Series Keindahan Gunung Fuji & Sakura,"230,3RB",23,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25819521744,https://s.shopee.co.id/17JqpJX5F
25278790555,AIRUMI - Scarves Series Winter,"230,3RB",6,Airumi Official Store,7%,Rp16.121,https://shopee.co.id/product/938641565/25278790555,https://s.shopee.co.id/W3aRkHd4M
27062104911,KHAIREEN Gamis Alea (1-12 Tahun) Gamis Anak Jersey Gamis Anak Set Hijab Gamis Aqiqah,"240,0RB",4RB+,Khaireen Official Shop,7%,Rp16.800,https://shopee.co.id/product/27854340/27062104911,https://s.shopee.co.id/LkAFRIGPL
4808589914,AISKA HIJAB Gamis Anak perempuan gamis set anak Bayi Perempuan gamiset bayi perempuan gamis anak polos Daily Nuha Umur Newborn 0 Bulan - 6 Tahun gamis Kids pakaian muslim anak perempuan Bahan Jersey Korea original Premium,"119,2RB",10RB+,Aiska Hijab Official Shop,2%,Rp2.384,https://shopee.co.id/product/124561259/4808589914,https://s.shopee.co.id/qgQqMGMOS
15792662157,"AISKA HIJAB Gamis Anak Bayi gamis couple ibu dan anak 0 Bulan 1 - 8 Tahun Sabrina Series Bahan Premium Sabrina Airflow Adem Lembut Berkualitas Untuk Usia 0 Bulan 1,2,3,4,5,6 Tahun","68,8RB",10RB+,Aiska Hijab Official Shop,2%,Rp1.375,https://shopee.co.id/product/124561259/15792662157,https://s.shopee.co.id/gN0e3GzjR
5642995763,AISKA HIJAB Baju Gamis Raida Set Anak Bayi Perempuan Fashion Set Anak Muslim Raida Series Usia 0 Bulan - 6 Tahun,"59,2RB",224,Aiska Hijab Official Shop,2%,Rp1.183,https://shopee.co.id/product/124561259/5642995763,https://s.shopee.co.id/1BJHEyF5iY
7904527195,AISKA HIJAB Mufida Prayer Set Mukena Couple Ibu Dan Anak Perempuan Armany Silk Original,"84,0RB",150,Aiska Hijab Official Shop,2%,Rp1.680,https://shopee.co.id/product/124561259/7904527195,https://s.shopee.co.id/10zr2fFj3X
21159244480,"AISKA HIJAB Arumi Series Gamis Anak Bayi 0 Bulan 1 - 8 Tahun Bahan Twill Premium Adem Lembut Ringan Berkualitas Untuk Usia 0 Bulan 1,2,3,4,5,6,7,8 Tahun","61,6RB",71,Aiska Hijab Official Shop,2%,Rp1.232,https://shopee.co.id/product/124561259/21159244480,https://s.shopee.co.id/1Vw7daDp2e
