ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
28607765143,AISYAH SCARVES Jilbab Printing Segiempat Voal Ultrafine 115 Monogram Series,"325,8RB",5,Aisyah Scarves Official Store,8%,Rp26.060,https://shopee.co.id/product/1088561520/28607765143,https://s.shopee.co.id/70H4BnxYAO
55209296228,AISYAH SCARVES - Promo Bundling ALL PRINTING Collection with Classic Square Series Hijab segiempat Jilbab Polos,"294,0RB",1,Aisyah Scarves Official Store,4%,Rp11.758,https://shopee.co.id/product/1088561520/55209296228,https://s.shopee.co.id/7AaUO6wupR
40704993702,AISYAH SCARVES Ramadhan Edition Aqsa Bundling Exclusive Gift,"599,9RB",2,Aisyah Scarves Official Store,8%,Rp47.992,https://shopee.co.id/product/1088561520/40704993702,https://s.shopee.co.id/6feDnByoqM
28116701111,AISYAH SCARVES Outwear Collection - Outer Printing Voal Premium,"349,9RB",0,Aisyah Scarves Official Store,8%,Rp27.992,https://shopee.co.id/product/1088561520/28116701111,https://s.shopee.co.id/6pxdzUyBVP
26259444673,AISYAH SCARVES Jilbab Printing Segiempat Voal Ultrafine 115 Nuuru Series 002,"325,8RB",0,Aisyah Scarves Official Store,8%,Rp26.060,https://shopee.co.id/product/1088561520/26259444673,https://s.shopee.co.id/6L1NOa05WK
28259457137,AISYAH SCARVES Jilbab Printing Segiempat Voal Ultrafine 120 Aqsa Series 046,"335,6RB",1,Aisyah Scarves Official Store,8%,Rp26.848,https://shopee.co.id/product/1088561520/28259457137,https://s.shopee.co.id/6VKnaszSBN
41355577193,AISYAH SCARVES Jilbab Printing Segiempat Voal Ultrafine 115 Nun Series,"325,8RB",0,Aisyah Scarves Official Store,8%,Rp26.060,https://shopee.co.id/product/1088561520/41355577193,https://s.shopee.co.id/60OWzy1MCI
26055511653,AISYAH SCARVES Jilbab Printing Segiempat Voal Ultrafine 115 Aranya Series,"325,8RB",1,Aisyah Scarves Official Store,8%,Rp26.060,https://shopee.co.id/product/1088561520/26055511653,https://s.shopee.co.id/6AhxCH0irL
5790363434,AKFAS -  Dress Bayi Perempuan Dress Tutu Jersey Premium - Baju Tidur Bayi Newborn Lucu & Elegan,"48,0RB",1RB+,AKFAS Official Store,10%,Rp4.800,https://shopee.co.id/product/16275477/5790363434,https://s.shopee.co.id/5flgbM2csG
41175113360,AKFAS -  Gamis Anak Perempuan Set Outer dan Inner Akfas – Gaun Pesta Anak Muslim Princess Berhijab kode 66,"80,0RB",2RB+,AKFAS Official Store,6%,Rp4.800,https://shopee.co.id/product/16275477/41175113360,https://s.shopee.co.id/5q56nf1zXJ
27474289492,Akfas- Rok Tutu Anak Perempuan (6 bln - 13 th) Couple Ibu – Rok Tile Kembaran Ibu dan Anak Elegan,"60,0RB",119,AKFAS Official Store,10%,Rp6.000,https://shopee.co.id/product/16275477/27474289492,https://s.shopee.co.id/5L8qCk3tYE
25489494138,AKFAS - 2 in 1 Sett Outer dan Rok Tutu Gamis Anak Perempuan Mewah Brokat Elegan 1-13 th kode 52,"98,0RB",3RB+,AKFAS Official Store,10%,Rp9.800,https://shopee.co.id/product/16275477/25489494138,https://s.shopee.co.id/5VSGP33GDH
58103081841,AKFAS- Atasan Baju Anak Brokat Bordir Blouse Anak Mewah Baju Lebaran Organza Brokat Premium,"52,0RB",18,AKFAS Official Store,6%,Rp3.120,https://shopee.co.id/product/16275477/58103081841,https://s.shopee.co.id/AKXW9vkrPE
52502310282,AKFAS - Gamis Anak Kode 66 HANYA OUTER - Gamis Pesta Anak Perempuan Elegan untuk Lebaran & Acara – Gamis Muslim Anak Tile Mewah,"67,0RB",271,AKFAS Official Store,6%,Rp4.020,https://shopee.co.id/product/16275477/52502310282,https://s.shopee.co.id/AUqwMEkE4H
22741661665,AKFAS - Gamis Anak Perempuan Cantik Bahan Cringkle airflow premium – Dress Anak Muslim Syar’i Anak Perempuan,"115,0RB",2RB+,AKFAS Official Store,10%,Rp11.500,https://shopee.co.id/product/16275477/22741661665,https://s.shopee.co.id/9zuflJm85C
46300984496,AKFAS - Gamis Perempuan Remaja Dewasa Brokat Jersey Tille – Dress Muslim Elegan Pesta & Lebaran | Baju Muslim Modern,"165,0RB",141,AKFAS Official Store,6%,Rp9.900,https://shopee.co.id/product/16275477/46300984496,https://s.shopee.co.id/AAE5xclUkF
24938775412,AKFAS - Gamis Anak Brokat Tile Jersey Premium– Dress Muslim Anak Perempuan Elegan Warna Pastel Akfas Princess Berhijab,"95,0RB",977,AKFAS Official Store,10%,Rp9.500,https://shopee.co.id/product/16275477/24938775412,https://s.shopee.co.id/9fHpMhnOlA
20102062591,AKFAS -  Set Outer Baju Anak Kode 2,"145,8RB",1RB+,AKFAS Official Store,10%,Rp14.578,https://shopee.co.id/product/16275477/20102062591,https://s.shopee.co.id/9pbFZ0mlQD
16495328729,AKFAS - Gamis Anak Perempuan Bahan Crinkle Airflow Adem – Dress Muslim Anak Syar’i Modern Elegan,"85,0RB",2RB+,AKFAS Official Store,10%,Rp8.500,https://shopee.co.id/product/16275477/16495328729,https://s.shopee.co.id/9Keyy5ofR8
28121932874,AKFAS - Sett Outer+ iner+ROK TUTU Gamis Muslim Anak Perempuan Elegan Pesta Lebaran Tulle Premium Nyaman Dipakai,"98,0RB",172,AKFAS Official Store,10%,Rp9.800,https://shopee.co.id/product/16275477/28121932874,https://s.shopee.co.id/9UyPAOo26B
43306349524,AKFAS - Baju Setelan Anak Perempuan Muslimah Hijab Modis - Outfit Anak Cewek Kekinian Nyaman Dipakai,"98,0RB",10,AKFAS Official Store,13%,Rp12.740,https://shopee.co.id/product/16275477/43306349524,https://s.shopee.co.id/9028ZTpw76
5591419752,AKFAS - Gamis Anak Perempuan Muslim Premium Set Hijab Dress Anak Kekinian Elegant Fashion Anak Syari,"89,0RB",840,AKFAS Official Store,10%,Rp8.900,https://shopee.co.id/product/16275477/5591419752,https://s.shopee.co.id/9ALYlmpIm9
24234041646,AKFAS - Gamis Anak Elegan Brokat Tile Premium Velvet – Dress Muslim Anak Syar’i Mewah,"115,0RB",192,AKFAS Official Store,10%,Rp11.500,https://shopee.co.id/product/16275477/24234041646,https://s.shopee.co.id/8fPIArrCn4
57551107763,AKFAS - Gamis Anak Perempuan Brukat Tile Premium- Dress Muslim Anak Elegan Anggun Mewah,"98,0RB",192,AKFAS Official Store,6%,Rp5.880,https://shopee.co.id/product/16275477/57551107763,https://s.shopee.co.id/8piiNAqZS7
43662715322,AKFAS - Gamis Anak Perempuan Mewah Brokat Tile Satin Premium – Dress Pesta Muslimah Elegan Modis Umur 1-13 Tahun,"70,0RB",50,AKFAS Official Store,9%,Rp6.300,https://shopee.co.id/product/16275477/43662715322,https://s.shopee.co.id/8KmRmFsTT2
22055626451,AKFAS - Gamis anak brokat  Baju anak mewah Gamis anak mewah Baju Lebaran kode 32,"92,0RB",1RB+,AKFAS Official Store,10%,Rp9.200,https://shopee.co.id/product/16275477/22055626451,https://s.shopee.co.id/8V5ryYrq85
15299714586,AKFAS -Gamis Anak Perempuan Akfas Princess Hijab - Baju Muslim Anak Pesta Elegan Brokat Tile Mewah,"89,8RB",389,AKFAS Official Store,10%,Rp8.975,https://shopee.co.id/product/16275477/15299714586,https://s.shopee.co.id/809bNdtk90
55010202773,AKFAS - Gamis Anak Perempuan Muslimah Brokat Premium | Dress Anak Syar’i Elegan | Baju Muslim Anak Kekinian,"98,0RB",0,AKFAS Official Store,6%,Rp5.880,https://shopee.co.id/product/16275477/55010202773,https://s.shopee.co.id/8AT1Zwt6o3
26342786488,AKFAS -  3 in 1 Sett outer iner dan rok tutu gamis anak lebaran gamis anak mewah kode 52,"135,0RB",37,AKFAS Official Store,9%,Rp12.150,https://shopee.co.id/product/16275477/26342786488,https://s.shopee.co.id/2BBoQvFwyu
25544922064,AKFAS - Gamis set Hijab Anak Perempuan Syari Usia 1-13 Tahun Bahan Jersey Premium Adem Nyaman,"85,0RB",15,AKFAS Official Store,10%,Rp8.500,https://shopee.co.id/product/16275477/25544922064,https://s.shopee.co.id/20sOEcGaJt
20227488512,AKFAS - Hijab Anak Perempuan Instan Hyget Ballon Premium | Jilbab Anak Syar’i Praktis Nyaman Dipakai Sehari-hari,"30,0RB",744,AKFAS Official Store,10%,Rp3.000,https://shopee.co.id/product/16275477/20227488512,https://s.shopee.co.id/2VoepXEgJ0
45209700403,AKFAS - Bando Bayi Perempuan Renda Pita Biru | Headband Bayi Lucu Cantik Newborn,"10,0RB",0,AKFAS Official Store,6%,Rp600,https://shopee.co.id/product/16275477/45209700403,https://s.shopee.co.id/2LVEdEFJdz
21310246068,AKFAS - Hijab Instan Anak Kerudung Anak Instan,"25,8RB",345,AKFAS Official Store,10%,Rp2.575,https://shopee.co.id/product/16275477/21310246068,https://s.shopee.co.id/1Vw7dhIUKq
25157950909,AKFAS - Gamis Anak Perempuan Cantik dengan Bahan Santorini Silky Ruffle & Brokat – Dress Muslim Anak Syar’i Bahan Adem,"108,0RB",706,AKFAS Official Store,10%,Rp10.800,https://shopee.co.id/product/16275477/25157950909,https://s.shopee.co.id/1LchROJ7fp
27764182140,AKFAS - Setelan Anak Perempuan Modis - Baju Muslim Anak Modern Gaya Kekinian Nyaman Dipakai,"99,0RB",3,AKFAS Official Store,10%,Rp9.900,https://shopee.co.id/product/16275477/27764182140,https://s.shopee.co.id/1qYy2JHDew
24102955595,AKFAS -  Baju Gamis Anak mewah baju muslim anak Jersey Brokat Tile kode 35,"98,0RB",853,AKFAS Official Store,10%,Rp9.800,https://shopee.co.id/product/16275477/24102955595,https://s.shopee.co.id/1gFXq0Hqzv
25339354634,AKFAS - Gamis Anak Sett Outer dan Inner Satin Brokat Baju Muslim Pesta & Lebaran Anak Elegan,"98,0RB",37,AKFAS Official Store,10%,Rp9.800,https://shopee.co.id/product/16275477/25339354634,https://s.shopee.co.id/qgQqTL1gm
51203140025,AKFAS - Sett atasan Dan Rok Span gamis anak Brokat Bordir Premium baju anak lebaran,"88,0RB",17,AKFAS Official Store,6%,Rp5.280,https://shopee.co.id/product/16275477/51203140025,https://s.shopee.co.id/gN0eALf1l
45753763546,AKFAS - Rok Tutu Dewasa Premium A-Line | Rok Tulle Wanita Panjang Elegan | Rok Pesta Kondangan & Casual,"90,0RB",4,AKFAS Official Store,6%,Rp5.400,https://shopee.co.id/product/16275477/45753763546,https://s.shopee.co.id/1BJHF5Jl0s
41124878579,AKFAS - gamis brukat anak mewah/gamis anak umur 3-15th/gamis anak couple/gamis brokat terbaru/gamis tille,"108,0RB",46,AKFAS Official Store,9%,Rp9.720,https://shopee.co.id/product/16275477/41124878579,https://s.shopee.co.id/10zr2mKOLr
23120134179,AKFAS - Gamis Anak Perempuan Brokat Mutiara - Baju Muslim Anak Elegan Pesta Lebaran Akfas Princess Berhijab,"98,0RB",8,AKFAS Official Store,10%,Rp9.800,https://shopee.co.id/product/16275477/23120134179,https://s.shopee.co.id/BQk3FNZ2i
