ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
48600194895,Al Anom Abaya Marwah Set Khimar Ilyana Silk Muslimah,"136,0RB",85,Al Anom Official Store,5%,Rp6.800,https://shopee.co.id/product/1653584301/48600194895,https://s.shopee.co.id/gN0eZAsFo
56156092255,Al Anom Jilbab FK Flowy Stretch Khimar,"120,0RB",25,Al Anom Official Store,5%,Rp6.000,https://shopee.co.id/product/1653584301/56156092255,https://s.shopee.co.id/qgQqsAEur
42025798787,Al Anom - Abaya Khimar Hitam Wanita Muslimah Warna Hitam,"136,0RB",106,Al Anom Official Store,5%,Rp6.800,https://shopee.co.id/product/1653584301/42025798787,https://s.shopee.co.id/10zr3B9bZu
56809898311,Al Anom FK Flowy Stretch Hijab Khimar Warna Denim,"120,0RB",0,Al Anom Official Store,5%,Rp6.000,https://shopee.co.id/product/1653584301/56809898311,https://s.shopee.co.id/1BJHFU8yEx
45750199887,Al Anom Abaya Marwah Set Khimar – Bahan Ilyana Silk Cinnamon,"136,0RB",18,Al Anom Official Store,5%,Rp6.800,https://shopee.co.id/product/1653584301/45750199887,https://s.shopee.co.id/40dScgyBUW
47909927309,Al Anom Hijab Khimar FK Flowy Stretch Warna Mocca Free Cadar Tali,"120,0RB",0,Al Anom Official Store,5%,Rp6.000,https://shopee.co.id/product/1653584301/47909927309,https://s.shopee.co.id/4AwsozxY9Z
51609911259,Al Anom FK Flowy Stretch Hijab Khimar Free Cadar Tali - Brown,"120,0RB",0,Al Anom Official Store,5%,Rp6.000,https://shopee.co.id/product/1653584301/51609911259,https://s.shopee.co.id/4LGJ1Iwuoc
50959907338,Al Anom Flowy Stretch Hijab Fiona Non Pad,"120,0RB",0,Al Anom Official Store,5%,Rp6.000,https://shopee.co.id/product/1653584301/50959907338,https://s.shopee.co.id/4VZjDbwHTf
44275836738,Al Anom Abaya Marwah – Bahan Ilyana Silk Warna Navy,"136,0RB",45,Al Anom Official Store,5%,Rp6.800,https://shopee.co.id/product/1653584301/44275836738,https://s.shopee.co.id/4ft9Puve8i
47650204809,Al Anom Abaya Marwah Set Baju Muslimah Bahan Ilyana Silk,"136,0RB",31,Al Anom Official Store,5%,Rp6.800,https://shopee.co.id/product/1653584301/47650204809,https://s.shopee.co.id/4qCZcDv0nl
