ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
29423237648,Cantiqu - Alina Outer Button Pakaian Wanita Kemeja Blazer Jumbo Crop Lengan Panjang Bahan Semiwoll,"52,3RB",2RB+,Cantiqu Official Store,8%,Rp4.184,https://shopee.co.id/product/29461221/29423237648,https://s.shopee.co.id/60OX0qf8iG
41113605946,Ventedaily - Alina One Set Long Tunik Jumbo Kekinian Setelan Wanita Terbaru Kondangan Hajatan Daily,"282,7RB",142,VENTEDAILY Official Store,7%,Rp19.786,https://shopee.co.id/product/280804302/41113605946,https://s.shopee.co.id/6AhxD9eVNJ
45300081092,ALLUNA - Mukena Dewasa 2in1 Premium Santorini Jacquard Kalisha Series,"195,0RB",10RB+,Alluna Official Shop,8%,Rp15.600,https://shopee.co.id/product/109588470/45300081092,https://s.shopee.co.id/6L1NPSds2M
28120366096,ALLUNA - Mukena Dewasa Mewah Santorini Silk 2in1 Zhafira Series,"227,9RB",10RB+,Alluna Official Shop,9%,Rp20.511,https://shopee.co.id/product/109588470/28120366096,https://s.shopee.co.id/6VKnbldEhP
28572898405,HELLOALEEYA - Mukena Dewasa Santorini Silk 2in1 Aleeya Series,"198,5RB",10RB+,Helloaleeya Official Store,7%,Rp13.895,https://shopee.co.id/product/1245550255/28572898405,https://s.shopee.co.id/5L8qDchg4C
28112998528,ALLUNA - Mukena Dewasa Santorini Silk 3in1 Lasercut Kayyana Series,"195,9RB",10RB+,Alluna Official Shop,8%,Rp15.672,https://shopee.co.id/product/109588470/28112998528,https://s.shopee.co.id/5VSGPvh2jF
29113252256,ALMECCA - Mukena Dewasa 2in1 Premium Santorini Shimer Arumi Series Almecca,"195,0RB",10RB+,Almecca Official Shop,3%,Rp5.850,https://shopee.co.id/product/166774939/29113252256,https://s.shopee.co.id/5flgcEgPOI
43725150037,ALLUNA - Mukena Dewasa Santorini Silk Jacquard Premium Lasercut Mewah Zeira Series,"230,0RB",10RB+,Alluna Official Shop,7%,Rp16.100,https://shopee.co.id/product/109588470/43725150037,https://s.shopee.co.id/5q56oXfm3L
19935422626,HANIYA MUKENA AISYAH - Mukena Arabi Silk Adem Lembut Seserahan Jumbo Dewasa Mukena Premium Lebaran 2026,"200,3RB",5RB+,Haniya Mukena Official Store,8%,Rp16.026,https://shopee.co.id/product/749979470/19935422626,https://s.shopee.co.id/7KtubIa40e
43552962643,ALLUNA - Mukena Dewasa 2in1 Silk Namira Series Armanie,"180,0RB",10RB+,Alluna Official Shop,6%,Rp10.800,https://shopee.co.id/product/109588470/43552962643,https://s.shopee.co.id/7VDKnbZQfh
23789616538,TAZBIYA - Mukena Premium HYZA (Mukena Dewasa Motif Bangunan Islami Bahan Rayon Satin 2 in 1 dengan Sajadah),"329,0RB",3RB+,Tazbiya Official Shop,6%,Rp19.740,https://shopee.co.id/product/12154728/23789616538,https://s.shopee.co.id/7fWkzuYnKk
40213840092,ALLUNA - Mukena Dewasa Terusan Santorini Silk Kayza Series Traveling,"192,0RB",6RB+,Alluna Official Shop,7%,Rp13.440,https://shopee.co.id/product/109588470/40213840092,https://s.shopee.co.id/7pqBCDY9zn
27656062544,TAZBIYA - Mukena SYAFEA Series (Mukena Dewasa Motif Sketch Madinah Bahan Rayon 2 in 1 dengan Sajadah),"149,0RB",10RB+,Tazbiya Official Shop,6%,Rp8.940,https://shopee.co.id/product/12154728/27656062544,https://s.shopee.co.id/6feDo4cbMa
42873192632,ALMECCA - Mukena Dewasa Mewah  3in1 Premium Silk Nahwa Series Almecca,"305,0RB",9RB+,Almecca Official Shop,3%,Rp9.150,https://shopee.co.id/product/166774939/42873192632,https://s.shopee.co.id/6pxe0Nby1d
48856263205,ALLUNA - Mukena Dewasa Silk Premium 2in1 Ayudya Series Free Sejadah,"198,0RB",2RB+,Alluna Official Shop,7%,Rp13.860,https://shopee.co.id/product/109588470/48856263205,https://s.shopee.co.id/70H4CgbKgg
26423194925,HELLOALEEYA - Mukena Dewasa Santorini Silk 2in1 Syafia Series,"250,0RB",10RB+,Helloaleeya Official Store,7%,Rp17.500,https://shopee.co.id/product/1245550255/26423194925,https://s.shopee.co.id/7AaUOzahLj
27874896090,ALLUNA - Mukena Dewasa Hampers Box Exclusive Mewah Bahan Silk Uragiri Azzura Series,"265,0RB",9RB+,Alluna Official Shop,6%,Rp15.900,https://shopee.co.id/product/109588470/27874896090,https://s.shopee.co.id/3LNlpwpI80
24334462044,Syahdika - Mukena Dewasa Silk Premium 2in1 Balqis Series Free Sejadah,"195,0RB",10RB+,Syahdika Official Shop,5%,Rp9.750,https://shopee.co.id/product/283926528/24334462044,https://s.shopee.co.id/3VhC2Foen3
25979871537,Syahdika - Mukena Dewasa  silk Premium 2in1 Ahambra Series,"195,0RB",10RB+,Syahdika Official Shop,5%,Rp9.750,https://shopee.co.id/product/283926528/25979871537,https://s.shopee.co.id/3g0cEYo1S6
27106894806,ALMECCA - Mukena Dewasa Mewah  2in1 Premium Silk Uragiri Lora Series Almecca,"255,0RB",10RB+,Almecca Official Shop,3%,Rp7.650,https://shopee.co.id/product/166774939/27106894806,https://s.shopee.co.id/3qK2QrnO79
17078010810,ALLUNA - Mukena Dewasa Silky Daily Lasercut 2in1 Chain Series Aleena,"172,5RB",10RB+,Alluna Official Shop,12%,Rp20.698,https://shopee.co.id/product/109588470/17078010810,https://s.shopee.co.id/2g852irpTw
22046932406,Veselka Mukena Dewasa Hawwa Signature Prayer Set Sajadah Travelling Hampers Seserahan Pernikahan Mukena Motif Printing Premium,"899,0RB",3RB+,VESELKA Official Shop,5%,Rp44.950,https://shopee.co.id/product/83066956/22046932406,https://s.shopee.co.id/2qRVF1rC8z
54452943843,HELLOALEEYA - Mukena Dewasa Santorini Silk 3in1 Syakira Series,"250,0RB",2RB+,Helloaleeya Official Store,7%,Rp17.500,https://shopee.co.id/product/1245550255/54452943843,https://s.shopee.co.id/30kvRKqYo2
43352204238,Syahdika - Mukena Dewasa Silk Premium 2in1 Amira Plisket Series,"240,0RB",1RB+,Syahdika Official Shop,5%,Rp12.000,https://shopee.co.id/product/283926528/43352204238,https://s.shopee.co.id/3B4LddpvT5
24888595167,Syahdika - Mukena Dewasa Silk Premium 2in1 Asmirah Series,"191,0RB",10RB+,Syahdika Official Shop,5%,Rp9.550,https://shopee.co.id/product/283926528/24888595167,https://s.shopee.co.id/4ft9QOkDQO
29823338173,TAZBIYA - Mukena Premium AINUR (Mukena Dewasa Bahan Rayon Satin Motif Floral 2 in 1 dengan Sajadah),"199,0RB",982,Tazbiya Official Shop,6%,Rp11.940,https://shopee.co.id/product/12154728/29823338173,https://s.shopee.co.id/4qCZchja5R
27163168473,Gallery Ammar - Mukena Dewasa Santorini Silk  2in1 Sahwal Series,"220,5RB",6RB+,Gallery Ammar Official Store,7%,Rp15.435,https://shopee.co.id/product/384231328/27163168473,https://s.shopee.co.id/50Vzp0iwkU
25437752073,Jumuna - Mukena Dewasa Premium Silk Lasercut Rebecca,"262,0RB",10RB+,Jumuna Official Shop,9%,Rp23.576,https://shopee.co.id/product/138456502/25437752073,https://s.shopee.co.id/5ApQ1JiJPX
25901577054,ALLUNA - Mukena Mini Parasut Premium Korea Travel Dewasa Series Madeena,"120,0RB",6RB+,Alluna Official Shop,8%,Rp9.600,https://shopee.co.id/product/109588470/25901577054,https://s.shopee.co.id/40dSdAmkmK
26777649834,MANASIKANA Alluna OneSet Baju Setelan Anak Perempuan 5th-Remaja,"228,7RB",759,Manasikana Official Shop,1%,Rp2.287,https://shopee.co.id/product/15642815/26777649834,https://s.shopee.co.id/4AwspTm7RN
56853681307,Dryrha Mukena Armani Jaguar Dewasa 2in1 Lasercut,"157,5RB",6RB+,Dryrha Production Official Shop,5%,Rp7.875,https://shopee.co.id/product/52783258/56853681307,https://s.shopee.co.id/4LGJ1mlU6Q
21231772678,HAMPERS GIFT SET MUKENA 2IN1 TAZBIYA I Mukena + Tasbih + Kartu + Box I HADIAH SESERAHAN | KADO PERNIKAHAN  | HADIAH PERPISAHAN | HADIAH FAREWELL | HADIAH GURU - 1,"249,0RB",8RB+,Tazbiya Official Shop,6%,Rp14.940,https://shopee.co.id/product/12154728/21231772678,https://s.shopee.co.id/4VZjE5kqlT
41352065768,MUSYAFFA - Mukena Dewasa Santorini Silk 2in1 Kayla Series,"248,0RB",2RB+,Musyaffa Official Store,7%,Rp17.360,https://shopee.co.id/product/251795212/41352065768,https://s.shopee.co.id/gN0f2zRXk
28627912132,HELLOALEEYA - Mukena Dewasa Santorini Silk 2in1 Hamidah Series,"210,0RB",2RB+,Helloaleeya Official Store,7%,Rp14.700,https://shopee.co.id/product/1245550255/28627912132,https://s.shopee.co.id/qgQrLyoCn
8169140757,ALLUNA - Mukena Dewasa Daily Alluna Lasercut Nalla,"149,0RB",10RB+,Alluna Official Shop,9%,Rp13.410,https://shopee.co.id/product/109588470/8169140757,https://s.shopee.co.id/10zr3eyArq
20692473203,ALMECCA - Mukena Dewasa 2in1 Mewah Silk Premium 2in1 Alnayra Series,"205,0RB",7RB+,Almecca Official Shop,3%,Rp6.150,https://shopee.co.id/product/166774939/20692473203,https://s.shopee.co.id/1BJHFxxXWt
46052361069,ALFATWA - Mukena Dewasa 3in1 Premium Katun Jersey Renda Mewah Safiyya Series,"185,0RB",514,Alfatwa Official Store,5%,Rp9.250,https://shopee.co.id/product/28112279/46052361069,https://s.shopee.co.id/17Jrp1ytg
