ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
18933440676,Alunicorn - Cera Dress Plisket - Maxi Dress,"366,4RB",253,Alunicorn Official Shop,6%,Rp21.986,https://shopee.co.id/product/45677014/18933440676,https://s.shopee.co.id/8AT1azx6FO
49756222774,Alunicorn - Nirmala Series - Blouse Embroidery -Atasan Blouse Wanita,"243,6RB",20,Alunicorn Official Shop,6%,Rp14.617,https://shopee.co.id/product/45677014/49756222774,https://s.shopee.co.id/809bOgxjaN
11322004134,Alunicorn - jessy jumpsuit - jumpsuit,"298,5RB",65,Alunicorn Official Shop,6%,Rp17.909,https://shopee.co.id/product/45677014/11322004134,https://s.shopee.co.id/9ALYmptIDc
17848658025,Alunicorn Dress Outer Wanita Farrah LD 96-120cm Organza Dress Silk Flowy,"329,7RB",503,Alunicorn Official Shop,6%,Rp19.783,https://shopee.co.id/product/45677014/17848658025,https://s.shopee.co.id/9028aWtvYb
29822936146,Alunicorn - Indirha Dress - Dress Plisket Mom's- Dress Lebaran Motif Bunga,"539,1RB",26,Alunicorn Official Shop,6%,Rp32.344,https://shopee.co.id/product/45677014/29822936146,https://s.shopee.co.id/8piiODuYta
21381130118,Alunicorn - Fleur set - Fleur Blouse - Fleur Skirt,"394,0RB",25,Alunicorn Official Shop,6%,Rp23.640,https://shopee.co.id/product/45677014/21381130118,https://s.shopee.co.id/8fPIBuvCEZ
24301913596,Alunicorn Hijab Segi Empat Wanita Palestine 115cm Premium Square Scarf Polycotton Voal,"163,5RB",102,Alunicorn Official Shop,6%,Rp9.812,https://shopee.co.id/product/45677014/24301913596,https://s.shopee.co.id/7AaUPA0uHI
25864952041,Alunicorn - Deony Dress - Dress Brukat - Maxi Dress,"504,1RB",17,Alunicorn Official Shop,6%,Rp30.249,https://shopee.co.id/product/45677014/25864952041,https://s.shopee.co.id/70H4Cr1XcH
29324964669,Alunicorn - Zafia Kaftan - Kaftan Plisket,"502,4RB",2,Alunicorn Official Shop,6%,Rp30.141,https://shopee.co.id/product/45677014/29324964669,https://s.shopee.co.id/6pxe0Y2AxG
29809652989,Alunicorn - Alunia Oneset Khimar - Oneset Wanita - Hijab Wanita,"63,4RB",84,Alunicorn Official Shop,6%,Rp3.802,https://shopee.co.id/product/45677014/29809652989,https://s.shopee.co.id/6feDoF2oIF
21617627852,Alunicorn Maxi Dress Wanita Eireen Satin Maxi Dress Satin Mewah Shimmery Flowy,"292,9RB",150,Alunicorn Official Shop,6%,Rp17.575,https://shopee.co.id/product/45677014/21617627852,https://s.shopee.co.id/7pqBCNyMvU
24341175538,Alunicorn Set Blouse Celana Wanita Kiran 66-100cm Women Outfit Set Premium Modis,"234,7RB",4,Alunicorn Official Shop,6%,Rp14.079,https://shopee.co.id/product/45677014/24341175538,https://s.shopee.co.id/7fWl04z0GT
28572928577,Alunicorn - Myra Dress - Dress Plisket  Kid's  ( Dress Anak Couple Set Ibu Koleksi Lebaran ),"337,5RB",102,Alunicorn Official Shop,6%,Rp20.249,https://shopee.co.id/product/45677014/28572928577,https://s.shopee.co.id/7VDKnlzdbS
22105654328,Alunicorn Dress Plisket Wanita Luxy Collection Pleated Maxi Dress Plisket Premium Flowy Ruffle,"550,0RB",40,Alunicorn Official Shop,6%,Rp33.001,https://shopee.co.id/product/45677014/22105654328,https://s.shopee.co.id/7KtubT0GwR
40371503036,Alunicorn - Royale Classic Series - Kemeja Katun Bordir Wanita  - Desain Elegan & Detail Renda,"274,6RB",12,Alunicorn Official Shop,6%,Rp16.476,https://shopee.co.id/product/45677014/40371503036,https://s.shopee.co.id/5q56oi5yzA
23725841922,Alunicorn Maxi Dress Wanita Kareen Gyda Premium Maxi Dress Cerruty Crepe Busui Ruffle,"547,3RB",70,Alunicorn Official Shop,6%,Rp32.835,https://shopee.co.id/product/45677014/23725841922,https://s.shopee.co.id/5flgcP6cK9
21461997817,Alunicorn x Yulita - Emmy Set - Blouse - Pants - Knit Rajut,"237,9RB",145,Alunicorn Official Shop,6%,Rp14.273,https://shopee.co.id/product/45677014/21461997817,https://s.shopee.co.id/5VSGQ67Ff8
20369789758,Alunicorn Hijab Segi Empat Wanita Alure Scarf Premium Square Hijab Voile Adem,"164,4RB",85,Alunicorn Official Shop,6%,Rp9.861,https://shopee.co.id/product/45677014/20369789758,https://s.shopee.co.id/5L8qDn7t07
17222292721,Alunicorn - Paula Dress - Maxi Dress,"247,9RB",416,Alunicorn Official Shop,6%,Rp14.876,https://shopee.co.id/product/45677014/17222292721,https://s.shopee.co.id/6VKnbw3RdM
49659802334,Alunicorn - Pants Fella - Premium Highwaist Trousers - Celana Panjang Wanita Kulot Loose - Free Belt,"167,0RB",2,Alunicorn Official Shop,6%,Rp10.020,https://shopee.co.id/product/45677014/49659802334,https://s.shopee.co.id/6L1NPd44yL
42464442026,Alunicorn - Raya Pleats Series - Alice Dress - Dress Plisket Premium - Pleats Premium,"530,5RB",4,Alunicorn Official Shop,6%,Rp31.831,https://shopee.co.id/product/45677014/42464442026,https://s.shopee.co.id/6AhxDK4iJK
25016408435,Alunicorn - Syera Shawl - Hijab - Pashmina,"72,3RB",70,Alunicorn Official Shop,6%,Rp4.335,https://shopee.co.id/product/45677014/25016408435,https://s.shopee.co.id/60OX115LeJ
16711093097,Alunicorn Dress Plisket Motif Wanita Maddie S-XXL Printed Pleated Dress Lightweight,"284,1RB",176,Alunicorn Official Shop,6%,Rp17.043,https://shopee.co.id/product/45677014/16711093097,https://s.shopee.co.id/4VZjEGB3h2
25682264799,Alunicorn X Marissya Icha - Lucia Dress - Shimmer Dress - Maxi Dress,"641,9RB",55,Alunicorn Official Shop,6%,Rp38.511,https://shopee.co.id/product/45677014/25682264799,https://s.shopee.co.id/4LGJ1xBh21
23530570404,Alunicorn Oneset Celana Wanita Kila Women Rib Knit Set Premium Rib Knit Stretch Batwing,"413,2RB",70,Alunicorn Official Shop,6%,Rp24.792,https://shopee.co.id/product/45677014/23530570404,https://s.shopee.co.id/4AwspeCKN0
27577869682,Alunicorn Dress Khimar Set Wanita Syahira 130cm Women Modest Dress Jersey Premium Adem,"337,0RB",26,Alunicorn Official Shop,6%,Rp20.219,https://shopee.co.id/product/45677014/27577869682,https://s.shopee.co.id/40dSdLCxhz
13698527649,Alunicorn - Keela Dress - Organza Dress - Maxi Dress - Outer Dress,"550,0RB",15,Alunicorn Official Shop,6%,Rp33.001,https://shopee.co.id/product/45677014/13698527649,https://s.shopee.co.id/5ApQ1U8WLE
11590798029,Alunicorn - Nazwa Prayer Robe - Mukena,"410,2RB",216,Alunicorn Official Shop,6%,Rp24.614,https://shopee.co.id/product/45677014/11590798029,https://s.shopee.co.id/50VzpB99gD
17020621421,Alunicorn - Kiara Scarf - Pashmina,"90,5RB",461,Alunicorn Official Shop,6%,Rp5.428,https://shopee.co.id/product/45677014/17020621421,https://s.shopee.co.id/4qCZcs9n1C
23027765290,Alunicorn - Shofiya Prayer Robe - Mukena - Mukena Dewasa - Mukena Anak,"284,1RB",106,Alunicorn Official Shop,6%,Rp17.043,https://shopee.co.id/product/45677014/23027765290,https://s.shopee.co.id/4ft9QZAQMB
24052916641,Alunicorn - Kim Dress - Maxi Dress,"349,0RB",63,Alunicorn Official Shop,6%,Rp20.940,https://shopee.co.id/product/45677014/24052916641,https://s.shopee.co.id/3B4LdoG8Ou
26973795752,Alunicorn - Valisya Abaya Set - Abaya Payet Mom's ( Abaya dress Koleksi Lebaran ),"539,1RB",25,Alunicorn Official Shop,6%,Rp32.344,https://shopee.co.id/product/45677014/26973795752,https://s.shopee.co.id/30kvRVGljt
18696321361,Alunicorn X Marissya Icha - Gisela Dress Mom - Dress Wanita,"569,1RB",72,Alunicorn Official Shop,6%,Rp34.143,https://shopee.co.id/product/45677014/18696321361,https://s.shopee.co.id/2qRVFCHP4s
20478137075,Alunicorn Hijab Segi Empat Wanita Fleur Scarf Square Printed Hijab Voal Printed Adem,"182,8RB",23,Alunicorn Official Shop,6%,Rp10.966,https://shopee.co.id/product/45677014/20478137075,https://s.shopee.co.id/2g852tI2Pr
20663450822,Alunicorn - Becca Bag - Hand & Sling Bag,"312,6RB",16,Alunicorn Official Shop,6%,Rp18.753,https://shopee.co.id/product/45677014/20663450822,https://s.shopee.co.id/3qK2R2Db36
24408979587,Alunicorn x Marissya Icha - Asheyra Scarf - Scarf,"164,4RB",4,Alunicorn Official Shop,6%,Rp9.861,https://shopee.co.id/product/45677014/24408979587,https://s.shopee.co.id/3g0cEjEEO5
46602033340,Alunicorn - Hijab Viscose - Hijab Pasmina,"76,0RB",75,Alunicorn Official Shop,6%,Rp4.561,https://shopee.co.id/product/45677014/46602033340,https://s.shopee.co.id/3VhC2QErj4
19794714293,Alunicorn - Naomi Blouse Vol2 - Blouse Wanita,"214,6RB",2,Alunicorn Official Shop,6%,Rp12.876,https://shopee.co.id/product/45677014/19794714293,https://s.shopee.co.id/3LNlq7FV43
25459087714,Alunicorn x Marissya Icha- Geora Scarf - Scarf,"163,5RB",49,Alunicorn Official Shop,6%,Rp9.812,https://shopee.co.id/product/45677014/25459087714,https://s.shopee.co.id/1qYy3MLD6m
28673795557,Alunicorn - Alisha Abaya Set - Abaya Kid's  ( Dress Anak Couple Set Ibu Koleksi Lebaran ),"236,0RB",79,Alunicorn Official Shop,6%,Rp14.160,https://shopee.co.id/product/45677014/28673795557,https://s.shopee.co.id/1gFXr3LqRl
43576474098,Alunicorn Hijab Instan Sport Wanita Luna Instant Sport Hijab Rayon Premium,"64,8RB",11,Alunicorn Official Shop,6%,Rp3.885,https://shopee.co.id/product/45677014/43576474098,https://s.shopee.co.id/1Vw7ekMTmk
25172228932,Alunicorn - Shabby Prayer Set - Mukena Travel,"273,2RB",21,Alunicorn Official Shop,6%,Rp16.393,https://shopee.co.id/product/45677014/25172228932,https://s.shopee.co.id/1LchSRN77j
27273785771,Alunicorn - Alisha Abaya Set - Abaya Mom's,"539,1RB",17,Alunicorn Official Shop,6%,Rp32.344,https://shopee.co.id/product/45677014/27273785771,https://s.shopee.co.id/2VoeqaIfky
25472247012,Alunicorn - Lyra Paris Japan - Hijab,"109,7RB",43,Alunicorn Official Shop,6%,Rp6.580,https://shopee.co.id/product/45677014/25472247012,https://s.shopee.co.id/2LVEeHJJ5x
24090269459,Alunicorn - Indirha Dress - Dress Plisket  Kid's  ( Dress Anak Couple Set Ibu Koleksi Lebaran ),"355,4RB",27,Alunicorn Official Shop,6%,Rp21.324,https://shopee.co.id/product/45677014/24090269459,https://s.shopee.co.id/2BBoRyJwQw
22622931146,Alunicorn Hijab Instan Wanita Anak Aleza Square Instant Square Hijab Cerruty Baby Doll Spandek,"75,1RB",204,Alunicorn Official Shop,6%,Rp4.503,https://shopee.co.id/product/45677014/22622931146,https://s.shopee.co.id/20sOFfKZlv
51101512926,Alunicorn Hijab Instan Sport Wanita Runa Instant Sport Hijab Rayon Premium,"64,4RB",38,Alunicorn Official Shop,6%,Rp3.866,https://shopee.co.id/product/45677014/51101512926,https://s.shopee.co.id/W3aSuQHoe
23639077014,Alunicorn - Sara Ultrafine Voal - Hijab Segi Empat,"117,9RB",14,Alunicorn Official Shop,6%,Rp7.073,https://shopee.co.id/product/45677014/23639077014,https://s.shopee.co.id/LkAGbQv9d
25250815076,Alunicorn- Rona Square - Hijab Segi empat,"53,9RB",155,Alunicorn Official Shop,6%,Rp3.236,https://shopee.co.id/product/45677014/25250815076,https://s.shopee.co.id/BQk4IRYUc
20476832012,Alunicorn Ciput Bando Wanita Kaneea Women Inner Hijab Premium Elastane Anti Pusing,"61,8RB",21,Alunicorn Official Shop,6%,Rp3.705,https://shopee.co.id/product/45677014/20476832012,https://s.shopee.co.id/17JrzSBpb
18076863063,Alunicorn Ciput Ninja Wanita Kaneea Inner Hijab Premium Elastane Stretch Anti Gerah,"81,4RB",30,Alunicorn Official Shop,6%,Rp4.882,https://shopee.co.id/product/45677014/18076863063,https://s.shopee.co.id/1BJHG8NkSq
20276832011,Alunicorn Inner Leher Wanita Kaneea All Size Women Inner Hijab Premium Elastane Stretch Adem,"81,4RB",17,Alunicorn Official Shop,6%,Rp4.882,https://shopee.co.id/product/45677014/20276832011,https://s.shopee.co.id/10zr3pONnp
5893641207,AM Madinah - Zein blazer,"299,0RB",3RB+,AM Madinah Official Shop,10%,Rp29.900,https://shopee.co.id/product/212979595/5893641207,https://s.shopee.co.id/qgQrWP18o
13315007336,AM Madinah - One Set Moza Blazer - Celana office,"395,0RB",972,AM Madinah Official Shop,10%,Rp39.500,https://shopee.co.id/product/212979595/13315007336,https://s.shopee.co.id/gN0fDPeTn
21532116104,AM Madinah - Adele Midi Dress,"195,0RB",1RB+,AM Madinah Official Shop,10%,Rp19.500,https://shopee.co.id/product/212979595/21532116104,https://s.shopee.co.id/9fHpNkrODY
12685073429,AM Madinah - Oversized pocket kemeja,"179,0RB",512,AM Madinah Official Shop,10%,Rp17.900,https://shopee.co.id/product/212979595/12685073429,https://s.shopee.co.id/9pbFa3qksb
11719984975,AM Madinah - Sakura scarves series ultrafine gift hardbox | printed scarf,"208,0RB",1RB+,AM Madinah Official Shop,10%,Rp20.800,https://shopee.co.id/product/212979595/11719984975,https://s.shopee.co.id/9Keyz8setW
9900480437,AM Madinah - Naureen Long Outerwear,"199,0RB",805,AM Madinah Official Shop,10%,Rp19.900,https://shopee.co.id/product/212979595/9900480437,https://s.shopee.co.id/9UyPBRs1YZ
7953591336,AM Madinah - Bella Top,"157,5RB",2RB+,AM Madinah Official Shop,10%,Rp15.750,https://shopee.co.id/product/212979595/7953591336,https://s.shopee.co.id/AKXWAyoqrk
3893676389,AM Madinah - Azkia ruffle dress,"239,0RB",3RB+,AM Madinah Official Shop,10%,Rp23.900,https://shopee.co.id/product/212979595/3893676389,https://s.shopee.co.id/AUqwNHoDWn
7848892056,AM Madinah - Lyla Top,"157,5RB",764,AM Madinah Official Shop,10%,Rp15.750,https://shopee.co.id/product/212979595/7848892056,https://s.shopee.co.id/9zufmMq7Xi
16037065821,AM Madinah - Faza Basic Pants,"140,0RB",182,AM Madinah Official Shop,10%,Rp14.000,https://shopee.co.id/product/212979595/16037065821,https://s.shopee.co.id/AAE5yfpUCl
41320269914,AM Madinah - Luna one set rajut knit set | cardigan + celana,"349,0RB",20,AM Madinah Official Shop,10%,Rp34.900,https://shopee.co.id/product/212979595/41320269914,https://s.shopee.co.id/8KmRnIwSvQ
20220412746,AM Madinah - Zalf Blazer,"265,5RB",333,AM Madinah Official Shop,10%,Rp26.550,https://shopee.co.id/product/212979595/20220412746,https://s.shopee.co.id/8V5rzbvpaT
4050747080,AM Madinah - Khalisa one shoulder Top Organza,"144,5RB",588,AM Madinah Official Shop,10%,Rp14.450,https://shopee.co.id/product/212979595/4050747080,https://s.shopee.co.id/809bOgxjbO
7152088551,AM Madinah - Rania top,"166,5RB",868,AM Madinah Official Shop,10%,Rp16.650,https://shopee.co.id/product/212979595/7152088551,https://s.shopee.co.id/8AT1azx6GR
