ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
19278153081,AM Madinah - Cyra Dress set Raya Series (Inner + Outer),"299,0RB",50,AM Madinah Official Shop,10%,Rp29.900,https://shopee.co.id/product/212979595/19278153081,https://s.shopee.co.id/4LGJ25we5s
24971945500,AM Madinah - Abaya rawdah oneset (inner + outer + belt) | raya series | umroh,"295,0RB",15,AM Madinah Official Shop,10%,Rp29.500,https://shopee.co.id/product/212979595/24971945500,https://s.shopee.co.id/4VZjEOw0kv
27254942684,AM Madinah - AL AQSA Palestine scarves ultrafine gift hardbox | printed scarf,"208,0RB",72,AM Madinah Official Shop,10%,Rp20.800,https://shopee.co.id/product/212979595/27254942684,https://s.shopee.co.id/40dSdTxulq
28127992136,AM Madinah - Dyn kemeja basic bahan cotton adem | for daily work,"152,0RB",33,AM Madinah Official Shop,10%,Rp15.200,https://shopee.co.id/product/212979595/28127992136,https://s.shopee.co.id/4AwspmxHQt
20143927597,AM Madinah - Dreamy Pillowcase sarung bantal healthy skin,"129,0RB",113,AM Madinah Official Shop,10%,Rp12.900,https://shopee.co.id/product/212979595/20143927597,https://s.shopee.co.id/10zr3y9KrI
21443921697,AM Madinah - Vanya payet dress,"346,5RB",19,AM Madinah Official Shop,10%,Rp34.650,https://shopee.co.id/product/212979595/21443921697,https://s.shopee.co.id/1BJHGH8hWL
24170033021,AM Madinah - Zahwa scarves ultrafine gift hardbox | printed scarf,"208,0RB",74,AM Madinah Official Shop,10%,Rp20.800,https://shopee.co.id/product/212979595/24170033021,https://s.shopee.co.id/gN0fMAbXG
19477556260,AM Madinah - Medina Dress Set Raya Series,"297,0RB",33,AM Madinah Official Shop,10%,Rp29.700,https://shopee.co.id/product/212979595/19477556260,https://s.shopee.co.id/qgQrf9yCJ
47804077871,Amanaya Black Beauty Dress Jetblack Woolpeach | Gamis Hitam Premium Woolpeach Busui Friendly Zipper Depan Wudhu Friendly Elegant Muslimah,"350,0RB",40,Amanaya Official Store,10%,Rp35.000,https://shopee.co.id/product/812026323/47804077871,https://s.shopee.co.id/LkAGkBsDE
45905866775,Zysa - Saffa Gamis Dress Wanita Muslim Model Flowly Lengan Lose Ruffle Bahan Royal Peach,"275,0RB",3,Zysa Official Store,10%,Rp27.500,https://shopee.co.id/product/855245999/45905866775,https://s.shopee.co.id/W3aT3BEsH
