ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
26274995587,Lozy Hijab - Bianca Paris Voal Square Lozy x Bianca Kartika (Hijab Segiempat Bahan Paris Voal),"109,0RB",10RB+,Lozy Hijab Official Shop,3%,Rp3.270,https://shopee.co.id/product/255402508/26274995587,https://s.shopee.co.id/5L8qEJQEsZ
26869087996,Rayascarves - Pashmina Kaos Rayon Airflow Premium - Hijab Pashmina Meleyot - Amirah Series,"72,0RB",6RB+,Rayascarves Official Store,10%,Rp7.200,https://shopee.co.id/product/1388043576/26869087996,https://s.shopee.co.id/AUqwNo6ZOa
27961623633,Hijab Paris Ultrafine Dymatic Segi Empat Polos - DS Modest,"159,0RB",486,DS Modest,7%,Rp11.130,https://shopee.co.id/product/90100957/27961623633,https://s.shopee.co.id/AKXWBV7CjZ
26520431261,Butterfly Hijab - Mukena Saku Amirah | Mukena Berlengan Mukena Potongan Lembut Tidak Menerawang,"349,0RB",4,Butterfly Hijab Official Store,3%,Rp10.470,https://shopee.co.id/product/307474735/26520431261,https://s.shopee.co.id/AAE5zC7q4Y
52556372033,Geulis.id ANANTARI DRESS / DRESS WANITA / SARIMBIT LEBARAN / BAJU LEBARAN / LUMISVARA SERIES,"703,1RB",1RB+,Geulis.id Official Shop,5%,Rp35.156,https://shopee.co.id/product/393952904/52556372033,https://s.shopee.co.id/9zufmt8TPX
45506119499,Ninos Design Anantari Dress Muslim Motif Elegan,"525,0RB",26,Nino's Design Official Store,8%,Rp42.000,https://shopee.co.id/product/312894856/45506119499,https://s.shopee.co.id/9pbFaa96kW
46404464489,Ranti - Anantari Dress - Gamis Muslim Wanita - Signature Dress,"3,5JT",2,Ranti Official Shop,5%,Rp174.950,https://shopee.co.id/product/258292962/46404464489,https://s.shopee.co.id/9fHpOH9k5V
50004494783,Ranti - Anantari Khimar - Khimar Wanita - Khimar Signature,"1,3JT",1,Ranti Official Shop,5%,Rp64.950,https://shopee.co.id/product/258292962/50004494783,https://s.shopee.co.id/9UyPByANQU
27330760051,Anantari Scarf Print,"250,0RB",2,anantari Official Store,3%,Rp7.500,https://shopee.co.id/product/173940387/27330760051,https://s.shopee.co.id/9KeyzfB0lT
29441271516,Ansania - Pashmina Pattern Vocevoal - In Her Backyard,"115,0RB",3RB+,Ansania ,4%,Rp4.600,https://shopee.co.id/product/67299902/29441271516,https://s.shopee.co.id/9ALYnMBe6S
44417933006,Ansania - Patterned Scarves Box - Hijab Motif Box Digital Print,"65,0RB",9RB+,Ansania ,4%,Rp2.598,https://shopee.co.id/product/67299902/44417933006,https://s.shopee.co.id/9028b3CHRR
43723002422,Ansania Hijab - Viscose Pashmina Modal 2-in-1 - Hijab Pashmina,"69,8RB",1RB+,Ansania ,4%,Rp2.794,https://shopee.co.id/product/67299902/43723002422,https://s.shopee.co.id/8piiOkCumQ
49008396821,Ansania - Paris Japan Premium Neci 2 Sisi - Hijab Segi Empat Polos,"65,0RB",82,Ansania ,4%,Rp2.600,https://shopee.co.id/product/67299902/49008396821,https://s.shopee.co.id/8fPICRDY7P
50104896741,Ansania - Arabian Shawl Aira - Pashmina Arabian Viscose,"69,4RB",892,Ansania ,4%,Rp2.774,https://shopee.co.id/product/67299902/50104896741,https://s.shopee.co.id/8V5s08EBSO
40305838084,Ansania Hijab - Pashmina Zayda - Pashmina Flowy,"61,0RB",818,Ansania ,4%,Rp2.440,https://shopee.co.id/product/67299902/40305838084,https://s.shopee.co.id/8KmRnpEonN
21838002151,Ansania - Alana Shinar Sonic - Hijab Polos Segi Empat,"31,8RB",6RB+,Ansania ,4%,Rp1.272,https://shopee.co.id/product/67299902/21838002151,https://s.shopee.co.id/8AT1bWFS8M
24458685031,[FREE 3 ITEMS] Hijaberies - Atalia Digital Pouch (Hijab Motif Segiempat Ukuran 110x110 cm),"89,0RB",1RB+,Hijaberies Official Store,5%,Rp4.450,https://shopee.co.id/product/365975779/24458685031,https://s.shopee.co.id/809bPDG5TL
42122635456,Ansania - Airry Light Voal - Hijab Kerudung Segi Empat Polos,"44,5RB",2RB+,Ansania ,4%,Rp1.781,https://shopee.co.id/product/67299902/42122635456,https://s.shopee.co.id/2Voer6b1dI
43657420041,Ansania - Faleeya Paris Korea Premium - Hijab Polos Segi Empat,"58,3RB",727,Ansania ,4%,Rp2.332,https://shopee.co.id/product/67299902/43657420041,https://s.shopee.co.id/2LVEenbeyH
52701003788,Ansania Hijab - Paris Classic - Hijab Kerudung Segi Empat,"38,3RB",751,Ansania ,4%,Rp1.530,https://shopee.co.id/product/67299902/52701003788,https://s.shopee.co.id/2BBoSUcIJG
12663762413,Ansania - Sana Paris Japan Premium Polos ( Hijab Kerudung Segi Empat Polos ),"58,5RB",10RB+,Ansania ,4%,Rp2.340,https://shopee.co.id/product/67299902/12663762413,https://s.shopee.co.id/20sOGBcveF
52258386662,Ansania - Paris Japan Premium Neci 4 Sisi - Hijab Segi Empat Polos,"68,0RB",67,Ansania ,4%,Rp2.720,https://shopee.co.id/product/67299902/52258386662,https://s.shopee.co.id/1qYy3sdYzE
43300918631,Ansania - Sania Voal Basic Polos - Hijab Polos Segi Empat,"33,8RB",2RB+,Ansania ,4%,Rp1.352,https://shopee.co.id/product/67299902/43300918631,https://s.shopee.co.id/1gFXrZeCKD
57207030849,Ansania - Patterned Scarves Box Syar'i - Hijab Motif Syar'i,"97,0RB",7,Ansania ,4%,Rp3.880,https://shopee.co.id/product/67299902/57207030849,https://s.shopee.co.id/1Vw7fGepfC
16909176048,Ansania - Sabela Pollycotton Syari - Hijab Kerudung Segiempat Syar'i / Jumbo,"39,0RB",5RB+,Ansania ,4%,Rp1.560,https://shopee.co.id/product/67299902/16909176048,https://s.shopee.co.id/1LchSxfT0B
12005774769,Ansania - Aleeya Saudia Voal Rawis - Hijab Polos Segi Empat,"31,1RB",10RB+,Ansania ,4%,Rp1.242,https://shopee.co.id/product/67299902/12005774769,https://s.shopee.co.id/1BJHGeg6LA
1848569597,Ansania - Alaia Shinar Stick - Hijab Polos Segi Empat,"31,8RB",8RB+,Ansania ,4%,Rp1.272,https://shopee.co.id/product/67299902/1848569597,https://s.shopee.co.id/10zr4Lgjg9
