ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
22319351118,Applekidz Gamis Anak Perempuan Muslim Tanggung Umur 8-15 Tahun Rania,"159,0RB",310,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/22319351118,https://s.shopee.co.id/6AhxDzyP4R
2791039080,Applekidz Gamis Anak Perempuan Tanggung Eva Line Cut Maroon,"159,0RB",708,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/2791039080,https://s.shopee.co.id/70H4DWvENc
14618589915,Applekidz Gamis Set Khimar Syari  Muslim Anak Perempuan Tanggung  Husna,"179,0RB",471,Applekidz Indonesia Official Shop,9%,Rp16.110,https://shopee.co.id/product/10445171/14618589915,https://s.shopee.co.id/7AaUPpub2f
23770030614,Applekidz Atasan Kaos Anak Perempuan  Tanggung Muslim Nadia,"99,0RB",1RB+,Applekidz Indonesia Official Shop,9%,Rp8.910,https://shopee.co.id/product/10445171/23770030614,https://s.shopee.co.id/6feDouwV3a
48252590817,Applekidz ZAKI Jubah Gamis Koko Anak Laki-Laki Lengan Panjang Bahan Toyobo 3-10 Tahun Adem Nyaman,"149,0RB",36,Applekidz Indonesia Official Shop,6%,Rp8.940,https://shopee.co.id/product/10445171/48252590817,https://s.shopee.co.id/6pxe1Dvrid
54101866970,Applekidz Baju Lebaran Sarimbit Pasangan Keluarga Muslim Couple Gamis Koko Aadil Adila Brown New,"159,0RB",211,Applekidz Indonesia Official Shop,6%,Rp9.540,https://shopee.co.id/product/10445171/54101866970,https://s.shopee.co.id/7fWl0ksh1o
26373242097,Applekidz  Baju Lebaran Sarimbit Pasangan Keluarga Couple Gamis Koko Amara & Amar Blue,"159,0RB",485,Applekidz Indonesia Official Shop,8%,Rp12.720,https://shopee.co.id/product/10445171/26373242097,https://s.shopee.co.id/7pqBD3s3gr
2790355035,Applekidz Gamis Kaos Anak Perempuan Tanggung Syari Naura Stripe Navy,"147,0RB",872,Applekidz Indonesia Official Shop,9%,Rp13.230,https://shopee.co.id/product/10445171/2790355035,https://s.shopee.co.id/7Ktuc8txhm
47152955949,Applekidz Aiza Gamis Couple Ibu Anak bahan Aurora Anti UV Two Tone Denim Baby Blue Sarimbit Baju Lebaran Muslim,"169,0RB",228,Applekidz Indonesia Official Shop,6%,Rp10.140,https://shopee.co.id/product/10445171/47152955949,https://s.shopee.co.id/7VDKoRtKMp
25216344261,Appplekidz Gamis Anak Perempuan Tanggung Muslim Sarimbit Couple Umur 8-15 Tahun AdiLa,"179,0RB",659,Applekidz Indonesia Official Shop,9%,Rp16.110,https://shopee.co.id/product/10445171/25216344261,https://s.shopee.co.id/8KmRnyq9g0
41524082275,Applekidz Baju Lebaran Sarimbit Keluarga baju couple Lebaran Aadil Adila Dark Grey,"159,0RB",161,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/41524082275,https://s.shopee.co.id/8V5s0HpWL3
9635955870,Applekidz Set Setelan Baju Muslim Koko Kurta Turki Anak Laki- laki Umur 2- 8 Tahun Ajmal,"139,0RB",707,Applekidz Indonesia Official Shop,9%,Rp12.510,https://shopee.co.id/product/10445171/9635955870,https://s.shopee.co.id/809bPMrQLy
27772160469,Applekidz Baju Lebaran Sarimbit Pasangan Keluarga Muslim Couple Gamis Koko Laila Kreem Misty Blue,"149,0RB",307,Applekidz Indonesia Official Shop,8%,Rp11.920,https://shopee.co.id/product/10445171/27772160469,https://s.shopee.co.id/8AT1bfqn11
4441336875,Applekidz Setelan Rok Baju Muslim Anak Perempuan Tanggung Astaria Navy,"169,0RB",680,Applekidz Indonesia Official Shop,9%,Rp15.210,https://shopee.co.id/product/10445171/4441336875,https://s.shopee.co.id/9028bCncKC
24305973184,Applekidz Setelan Rok Anak Perempuan Muslim Tanggung Umur 8-15 Tahun Arissa,"179,0RB",203,Applekidz Indonesia Official Shop,9%,Rp16.110,https://shopee.co.id/product/10445171/24305973184,https://s.shopee.co.id/9ALYnVmyzF
17879545590,Applekidz Kerudung Bergo Anak Sekolah Hijab instan Tali Alana,"39,0RB",510,Applekidz Indonesia Official Shop,9%,Rp3.510,https://shopee.co.id/product/10445171/17879545590,https://s.shopee.co.id/8fPICaot0A
29971690817,Applekidz  Atasan Anak Perempuan Tanggung Gabby Blouse Casual,"109,0RB",266,Applekidz Indonesia Official Shop,9%,Rp9.810,https://shopee.co.id/product/10445171/29971690817,https://s.shopee.co.id/8piiOtoFfD
27463167723,Applekidz Kerudung Bergo Anak Sekolah  Usia 6-14 Tahun Hijab Instan Tali Serut  Little Husna,"39,0RB",413,Applekidz Indonesia Official Shop,8%,Rp3.120,https://shopee.co.id/product/10445171/27463167723,https://s.shopee.co.id/9fHpOQl4yO
28422502882,Applekidz Baju Lebaran Sarimbit Keluarga baju couple Lebaran Aadil Adila Sage Green,"159,0RB",105,Applekidz Indonesia Official Shop,8%,Rp12.720,https://shopee.co.id/product/10445171/28422502882,https://s.shopee.co.id/9pbFajkRdR
42372619254,Applekidz Baju Lebaran Keluarga baju couple Lebaran Laila Kareem Brown,"139,0RB",214,Applekidz Indonesia Official Shop,9%,Rp12.510,https://shopee.co.id/product/10445171/42372619254,https://s.shopee.co.id/9KeyzomLeM
16740059273,Applekidz Mukena Anak Travel Perempuan Muslim Ameena,"149,0RB",221,Applekidz Indonesia Official Shop,9%,Rp13.410,https://shopee.co.id/product/10445171/16740059273,https://s.shopee.co.id/9UyPC7liJP
28772222753,Applekidz Gamis Anak Perempuan Tanggung Wing Sage Green,"159,0RB",91,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/28772222753,https://s.shopee.co.id/AKXWBeiXca
57803937193,Applekidz Kerudung Hijab Segi Empat Anak Perempuan Bahan Voal Premium Warna Pastel Nyaman & Adem Zahra,"49,0RB",79,Applekidz Indonesia Official Shop,6%,Rp2.940,https://shopee.co.id/product/10445171/57803937193,https://s.shopee.co.id/AUqwNxhuHd
27326180398,Applekidz Setelan Rok Anak perempuan Muslim Nadine Sage Green,"159,0RB",79,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/27326180398,https://s.shopee.co.id/9zufn2joIY
40352183441,Applekidz Kaos Lengan Panjang Anak Perempuan ALVIE Merah Putih Kemerdekaan,"99,0RB",53,Applekidz Indonesia Official Shop,9%,Rp8.910,https://shopee.co.id/product/10445171/40352183441,https://s.shopee.co.id/AAE5zLjAxb
26504879677,Applekidz Gamis Anak Perempuan Tanggung 7 - 15 Tahun Salma,"159,0RB",133,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/26504879677,https://s.shopee.co.id/LkAHHKbui
25160296949,Applekidz  Long Tunik Kaos  Anak Perempuan Muslim  Umur 1- 8 Tahun Venus,"79,0RB",49,Applekidz Indonesia Official Shop,9%,Rp7.110,https://shopee.co.id/product/10445171/25160296949,https://s.shopee.co.id/W3aTaJyZl
22553773971,Applekidz Gendongan Bayi Samping Instan Geos Busa Polkadot Premium,"77,0RB",39,Applekidz Indonesia Official Shop,7%,Rp5.390,https://shopee.co.id/product/10445171/22553773971,https://s.shopee.co.id/17JsfLsag
9578356901,Applekidz Kemeja Wanita Dewasa Pocket Stripe Salur Oversize Sachi,"79,0RB",40,Applekidz Indonesia Official Shop,8%,Rp6.320,https://shopee.co.id/product/10445171/9578356901,https://s.shopee.co.id/BQk4yLFFj
25582227550,Applekidz Gamis Kaos  Anak Perempuan Muslim Tanggung  Azzura Navy,"159,0RB",24,Applekidz Indonesia Official Shop,9%,Rp14.310,https://shopee.co.id/product/10445171/25582227550,https://s.shopee.co.id/10zr4VI4Yu
6340479709,Applekidz Bergo Hijab Instan Anak Khadijah  Umur 3-7 Tahun,"32,9RB",54,Applekidz Indonesia Official Shop,9%,Rp2.961,https://shopee.co.id/product/10445171/6340479709,https://s.shopee.co.id/1BJHGoHRDx
42913593026,Aqillah By Ria - Nada Series (Hijab Segiempat Paris Jepang Original Premium),"169,2RB",215,AqillahbyRia Official Shop,10%,Rp16.920,https://shopee.co.id/product/322179821/42913593026,https://s.shopee.co.id/gN0ftJLEs
21180320714,Aqillahbyria - Hijab Segitiga Instan Premium Jersey – Essensial Daily Series,"96,9RB",207,AqillahbyRia Official Shop,10%,Rp9.685,https://shopee.co.id/product/322179821/21180320714,https://s.shopee.co.id/qgQsCIhtv
51703082984,Aqueenah - Abaya Mayra Anti UV set Hijab (Gamis Umroh Haji Syari setelan French Khimar) - Mahogany,"521,9RB",211,AQUEENAH  Official Store,5%,Rp26.095,https://shopee.co.id/product/15888046/51703082984,https://s.shopee.co.id/1gFXrjFXD6
6415928788,Aqueenah -  Purdah Maryam Cadar Yaman Butterfly Sifon Silk Jetblack Premium,"148,0RB",2RB+,AQUEENAH  Official Store,5%,Rp7.402,https://shopee.co.id/product/15888046/6415928788,https://s.shopee.co.id/1qYy42Ets9
26110252411,Aqueenah - Abaya Hanum Gamis Basic set Hijab Umroh Haji syari Jilbab French Khimar Daily,"294,4RB",237,AQUEENAH  Official Store,5%,Rp14.722,https://shopee.co.id/product/15888046/26110252411,https://s.shopee.co.id/1LchT7Gnt4
9397872822,Aqueenah -  Purdah Maryam Cadar Yaman Butterfly Veil Sifon Silk Jetblack Premium,"148,0RB",480,AQUEENAH  Official Store,5%,Rp7.402,https://shopee.co.id/product/15888046/9397872822,https://s.shopee.co.id/1Vw7fQGAY7
29160019050,Aqueenah - Abaya Aisyah Gamis Syari Umroh Haji Set Hijab French Khimar Premium Basic Daily,"380,7RB",439,AQUEENAH  Official Store,5%,Rp19.036,https://shopee.co.id/product/15888046/29160019050,https://s.shopee.co.id/2LVEexCzrI
8065715283,Aqueenah - Cadar Aisyah Niqab Bandana Poni Polos Sifon Jetblack,"119,3RB",966,AQUEENAH  Official Store,5%,Rp5.964,https://shopee.co.id/product/15888046/8065715283,https://s.shopee.co.id/2VoerGCMWL
29122601729,Aqueenah - Hawa Abaya Set Hijab Anti UV (Gamis Set French Khimar Umroh dan Haji),"465,7RB",81,AQUEENAH  Official Store,5%,Rp23.284,https://shopee.co.id/product/15888046/29122601729,https://s.shopee.co.id/20sOGLEGXG
29860248284,Aqueenah - Abaya set Hijab Syari Aisyah Gamis Umroh Jilbab French Khimar Instant Basic Daily Premium,"380,7RB",309,AQUEENAH  Official Store,5%,Rp19.036,https://shopee.co.id/product/15888046/29860248284,https://s.shopee.co.id/2BBoSeDdCJ
23187326966,Aqueenah - Abaya Jetblack Azura Set Pashmina Instant Exclusive Setelan Gamis Syari,"590,0RB",33,AQUEENAH  Official Store,5%,Rp29.500,https://shopee.co.id/product/15888046/23187326966,https://s.shopee.co.id/30kvSBASVU
24352202295,Aqueenah - Mayra Abaya Set Hijab Anti UV (Gamis Set French Khimar Umroh dan Haji),"521,9RB",175,AQUEENAH  Official Store,5%,Rp26.095,https://shopee.co.id/product/15888046/24352202295,https://s.shopee.co.id/3B4LeU9pAX
20277825552,Aqueenah Exclusive - Niqab Poni Basic Premium Sifon Silk Jetblack Cadar Polos,"72,1RB",277,AQUEENAH  Official Store,5%,Rp3.606,https://shopee.co.id/product/15888046/20277825552,https://s.shopee.co.id/2g853ZBjBS
21584726354,Aqueenah - French Khimar Oneset Rok Umroh Halwa Hijab Lengan Cadar Kerudung Syari,"826,0RB",105,AQUEENAH  Official Store,5%,Rp41.300,https://shopee.co.id/product/15888046/21584726354,https://s.shopee.co.id/2qRVFsB5qV
29310257989,Aqueenah - Aisyah Abaya Mahogany Gamis Basic Premium set Hijab Syari Jilbab French Khimar Daily,"380,7RB",66,AQUEENAH  Official Store,5%,Rp19.036,https://shopee.co.id/product/15888046/29310257989,https://s.shopee.co.id/3g0cFP7v9g
27861733182,Aqueenah - Abaya Aisyah Set French Khimar Instant Gamis Syari Umroh dan Haji Premium,"380,7RB",66,AQUEENAH  Official Store,5%,Rp19.036,https://shopee.co.id/product/15888046/27861733182,https://s.shopee.co.id/3qK2Ri7Hoj
16233029445,Aqueenah -  Khimar Hilya Hijab Instan Syari - Hitam Jetblack,"599,0RB",17,AQUEENAH  Official Store,5%,Rp29.950,https://shopee.co.id/product/15888046/16233029445,https://s.shopee.co.id/3LNlqn9Bpe
9367050487,Aqueenah -  Purdah Amira Cadar Yaman Niqab Poni Butterfly Sifon Silk Jetblack Exclusive,"243,5RB",17,AQUEENAH  Official Store,5%,Rp12.173,https://shopee.co.id/product/15888046/9367050487,https://s.shopee.co.id/3VhC368YUh
11735940135,Aqueenah -  Niqab Zahra Cadar Bandana Poni Renda Sifon Silk Jetblack Exclusive,"136,2RB",47,AQUEENAH  Official Store,5%,Rp6.811,https://shopee.co.id/product/15888046/11735940135,https://s.shopee.co.id/4LGJ2d5Nns
11715999549,Aqueenah - Khimar Zainah Renda Hijab Instant Syari Jilbab Jumbo Hitam Jetblack Premium,"618,0RB",13,AQUEENAH  Official Store,5%,Rp30.900,https://shopee.co.id/product/15888046/11715999549,https://s.shopee.co.id/4VZjEw4kSv
21379688795,Aqueenah - Overhead French Khimar Medina Kerudung Hijab Terusan Jilbab Lengan Jumbo Hitam Jetblack,"458,5RB",12,AQUEENAH  Official Store,5%,Rp22.925,https://shopee.co.id/product/15888046/21379688795,https://s.shopee.co.id/40dSe16eTq
21454004635,Aqueenah - Tunik Kaftan Busui Polos Series (Oneset Tunic French Khimar Rok),"360,0RB",24,AQUEENAH  Official Store,5%,Rp18.000,https://shopee.co.id/product/15888046/21454004635,https://s.shopee.co.id/4AwsqK618t
3592559908,Aqueenah -  Cadar Zahwa Niqab Bandana Poni Swarovski Sifon Silk Hitam Jetblack Exclusive,"152,0RB",10,AQUEENAH  Official Store,5%,Rp7.598,https://shopee.co.id/product/15888046/3592559908,https://s.shopee.co.id/50Vzpr2qS4
16993999115,Aqueenah -  Abaya Overhead French Khimar Medina - Caramel,"513,4RB",1,AQUEENAH  Official Store,5%,Rp25.671,https://shopee.co.id/product/15888046/16993999115,https://s.shopee.co.id/5ApQ2A2D77
29457129063,Aqueenah - Abaya Kaia Twtotone Mustard Jetblack,"915,0RB",1,AQUEENAH  Official Store,5%,Rp45.750,https://shopee.co.id/product/15888046/29457129063,https://s.shopee.co.id/4ft9RF4782
8265860448,Aqueenah -  Purdah Saudi Bilqis Cadar Swarovski Niqab Mewah Sifon Silk Jetblack Exclusive,"263,1RB",1,AQUEENAH  Official Store,5%,Rp13.154,https://shopee.co.id/product/15888046/8265860448,https://s.shopee.co.id/4qCZdY3Tn5
