ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
50100758900,Arafa Hijab - Khiban Afiya | Khimar Bandana Syari Bergo Umroh Premium Jilbab Instan Terbaru Kekinian,"125,0RB",203,Arafa Hijab Official Shop,"3,5%",Rp3.750,https://shopee.co.id/product/200606187/50100758900,https://s.shopee.co.id/50Vzq5DcU1
54257773221,Daffi Hijab X Zada - Hijab Instan Kila S Series - Bergo Sport Jersey Xable Non Pad Terbaru,"50,0RB",231,Daffi Hijab Official Store,8%,Rp4.000,https://shopee.co.id/product/266943598/54257773221,https://s.shopee.co.id/4qCZdmEFp0
54155549739,Arafa Hijab - Khimar Haura | Jilbab Jersey Premium Kerudung Lebaran Bergo Pet Instan Terbaru 2026,"99,0RB",127,Arafa Hijab Official Shop,"3,5%",Rp2.970,https://shopee.co.id/product/200606187/54155549739,https://s.shopee.co.id/4ft9RTEt9z
48359055205,Arafa Hijab - Khimar Kayra | Jilbab Instan Terbaru Kekinian 2026 | Bergo Instan Adem Ringan,"115,0RB",1,Arafa Hijab Official Shop,7%,Rp8.050,https://shopee.co.id/product/200606187/48359055205,https://s.shopee.co.id/3B4LeiKbCi
40273880379,"Arafa Hijab – Nafiya Dress | Gamis Syar’i Rayon Viscose Premium | Daily Wear Adem, Ringan & Anggun","255,0RB",243,Arafa Hijab Official Shop,"3,5%",Rp7.650,https://shopee.co.id/product/200606187/40273880379,https://s.shopee.co.id/30kvSPLEXh
58155553184,Arafa Hijab - Khimar Rahma | Jilbab Anak Perempuan Kerudung Lebaran Anak Instan Terbaru 2026,"47,0RB",107,Arafa Hijab Official Shop,7%,Rp3.290,https://shopee.co.id/product/200606187/58155553184,https://s.shopee.co.id/2qRVG6Lrsg
58005548979,Arafa Hijab – Khimar Ghaida | Bergo Jersey Premium Jilbab Tali Belakang Kerudung Instan Terbaru Ramadhan 2026,"99,0RB",89,Arafa Hijab Official Shop,"3,5%",Rp2.970,https://shopee.co.id/product/200606187/58005548979,https://s.shopee.co.id/2g853nMVDf
45351219839,Arafa Hijab - Nusava Dress Kids Eid Series | Gamis Lebaran Anak Perempuan Couple Keluarga Terbaru 2026,"175,0RB",314,Arafa Hijab Official Shop,"3,5%",Rp5.250,https://shopee.co.id/product/200606187/45351219839,https://s.shopee.co.id/3qK2RwI3qu
55853505577,Arafa Hijab - Aluna Dress Anak Perempuan | Baju Gamis Muslim Lebaran Couple Keluarga Sarimbit Raya Series Model Terbaru 2026,"175,0RB",347,Arafa Hijab Official Shop,"3,5%",Rp5.250,https://shopee.co.id/product/200606187/55853505577,https://s.shopee.co.id/3g0cFdIhBt
43178465644,Arafa Hijab - Khiban Afiya | Khimar Bandana Instan Bergo Syari Premium Jilbab Terbaru Ramadhan 2026,"125,0RB",28,Arafa Hijab Official Shop,"3,5%",Rp3.750,https://shopee.co.id/product/200606187/43178465644,https://s.shopee.co.id/3VhC3KJKWs
57553481734,Arafa Hijab - Aluna Koko Pria Dewasa | Baju Lebaran Couple Keluarga Sarimbit Raya Series Model Terbaru 2026,"195,0RB",502,Arafa Hijab Official Shop,"3,5%",Rp5.850,https://shopee.co.id/product/200606187/57553481734,https://s.shopee.co.id/3LNlr1Jxrr
45356278610,Arafa Hijab - Aluna Sarimbit Family Set | Baju Lebaran Keluarga Premium 2026 | Dress Wanita Dewasa | Baju Koko Couple Ayah dan anak,"135,0RB",351,Arafa Hijab Official Shop,"3,5%",Rp4.050,https://shopee.co.id/product/200606187/45356278610,https://s.shopee.co.id/1qYy4GPfua
53255604158,Arafa Hijab - Khimar Livia Kids | Kerudung Anak Perempuan Jilbab Instan Anak Lebaran 2026,"55,0RB",128,Arafa Hijab Official Shop,"3,5%",Rp1.650,https://shopee.co.id/product/200606187/53255604158,https://s.shopee.co.id/1gFXrxQJFZ
54559035240,Arafa Hijab - Khimar Aruna | Bergo Instan 2in1 | Kerudung instan terbaru 2025 Adem,"94,0RB",2,Arafa Hijab Official Shop,7%,Rp6.580,https://shopee.co.id/product/200606187/54559035240,https://s.shopee.co.id/1Vw7feQwaY
28286698863,Arafa Hijab - Rasha Abaya | Gamis Umroh Premium Jumbo Mewah Elegan Hitam | Abaya Saudi Putih Exclusive Lebaran 2026,"295,0RB",225,Arafa Hijab Official Shop,"3,5%",Rp8.850,https://shopee.co.id/product/200606187/28286698863,https://s.shopee.co.id/1LchTLRZvX
42427432130,Arafa Hijab - Aluna Dress Wanita Dewasa | Baju Gamis Lebaran Couple Keluarga Sarimbit Raya Series Model Terbaru 2026,"285,0RB",630,Arafa Hijab Official Shop,"3,5%",Rp8.550,https://shopee.co.id/product/200606187/42427432130,https://s.shopee.co.id/2VoerUN8Ym
26938686391,Arafa Hijab – Nevara Dress | Gamis Kaftan Modern dan Batwing Syari Terbaru | Superfine Poly Premium,"260,0RB",161,Arafa Hijab Official Shop,"3,5%",Rp7.800,https://shopee.co.id/product/200606187/26938686391,https://s.shopee.co.id/2LVEfBNltl
41328456994,Arafa Hijab - French Khimar Ameera | Kerudung Syari Terbaru Premium Adem Jilbab Bergo Instan Ramadhan,"135,0RB",14,Arafa Hijab Official Shop,"3,5%",Rp4.050,https://shopee.co.id/product/200606187/41328456994,https://s.shopee.co.id/2BBoSsOPEk
29665841875,SUKAHIJAB - Arafa Bergo Hijab Instant Sport Dagu Malaysia Jersey Premium Jumbo Kekinian Terbaru 2025,"50,0RB",11,Sukahijab Official Store,10%,Rp5.000,https://shopee.co.id/product/229452983/29665841875,https://s.shopee.co.id/20sOGZP2Zj
26119702378,SUKAHIJAB - Arafa Bergo Instan Jersey Premium Dagu Kerudung Sport Daily Non Ped Terbaru Kekinian,"49,0RB",24,Sukahijab Official Store,12%,Rp5.880,https://shopee.co.id/product/229452983/26119702378,https://s.shopee.co.id/W3aToUkcS
45706296914,Arafa Hijab - Nusava Sarimbit Family Set | Baju Lebaran Keluarga Terbaru 2026 Kekinian | Koko Series Ayah dan anak | Gamis Raya Series,"135,0RB",107,Arafa Hijab Official Shop,7%,Rp9.450,https://shopee.co.id/product/200606187/45706296914,https://s.shopee.co.id/LkAHVVNxR
18636423199,Hijab Khiban Khimar Bandana Jilbab Segiempat 140 x 140 Jumbo,"74,9RB",394,Naylatu Official Store,10%,Rp7.490,https://shopee.co.id/product/318254992/18636423199,https://s.shopee.co.id/BQk5CW1IQ
17896156460,Klamby - Victoria Scarf,"200,0RB",10RB+,Wearing Klamby Official Shop,5%,Rp10.000,https://shopee.co.id/product/881997039/17896156460,https://s.shopee.co.id/17JstWedP
27577835271,Zoya - Viola Scarf - Kerudung Hijab Segi Empat Motif Premium - Box,"119,2RB",2RB+,Zoya Official,6%,Rp7.152,https://shopee.co.id/product/15996341/27577835271,https://s.shopee.co.id/1BJHH2SDGe
10299650937,JANNA Monogram 2.0 Series (Premium Signature Printing Scarf),"160,0RB",456,Janna Official Shop,10%,Rp16.000,https://shopee.co.id/product/20466396/10299650937,https://s.shopee.co.id/10zr4jSqbd
4868868584,Lozy Hijab - Bawal Shawl (Hijab Pashmina Ceruty Babydoll),"79,0RB",10RB+,Lozy Hijab Official Shop,3%,Rp2.370,https://shopee.co.id/product/255402508/4868868584,https://s.shopee.co.id/qgQsQTTwc
56558977890,[New Launch] Arabella Series Jilbab Motif Floral Kerudung Segi Empat Hijab Scarf bahan Voal Laser Cut,"92,0RB",147,Dafanya Official Store,9%,Rp8.280,https://shopee.co.id/product/998878905/56558977890,https://s.shopee.co.id/gN0g7U7Hb
43472645342,MECCAMEDINA - Madeira Scarf Voal Square - Gradation / Hijab Segi Empat,"97,0RB",118,Meccamedina Official Store,4%,Rp3.880,https://shopee.co.id/product/1012329582/43472645342,https://s.shopee.co.id/9pbFaxvDgO
28917140578,Lozy Hijab - Clearance Sale Defect Random Hijab All Collections,"59,0RB",10RB+,Lozy Hijab Official Shop,3%,Rp1.770,https://shopee.co.id/product/255402508/28917140578,https://s.shopee.co.id/9fHpOevr1N
26773241798,Ariona - Kemeja Lace Wanita Hamida Top,"268,2RB",1RB+,Ariona Official Shop,15%,Rp40.230,https://shopee.co.id/product/144611758/26773241798,https://s.shopee.co.id/9UyPCLwUMM
26973372400,Ariona -  Celana Kulot Panjang Loose Highwaist Kanza Cullote,"220,0RB",287,Ariona Official Shop,15%,Rp33.000,https://shopee.co.id/product/144611758/26973372400,https://s.shopee.co.id/9Kez02x7hL
48703939342,[NEW LAUNCH] KALUNAR - Obelle Blouse Binar Raya Series (Atasan Blus Belt Renda Kondangan Lebaran Melayu Wanita),"201,0RB",1RB+,Kalunar Official Store,7%,Rp14.070,https://shopee.co.id/product/922545388/48703939342,https://s.shopee.co.id/AUqwOBsgKa
40278043635,Ariona - Vest Lace Wanita Naima,"242,6RB",87,Ariona Official Shop,15%,Rp36.383,https://shopee.co.id/product/144611758/40278043635,https://s.shopee.co.id/AKXWBstJfZ
46104718634,Ariona - Celana Kulot Rempel Zeina,"272,3RB",166,Ariona Official Shop,15%,Rp40.838,https://shopee.co.id/product/144611758/46104718634,https://s.shopee.co.id/AAE5zZtx0Y
27528569328,Ariona - Kemeja  Renda Wanita Viola Top,"275,0RB",166,Ariona Official Shop,15%,Rp41.250,https://shopee.co.id/product/144611758/27528569328,https://s.shopee.co.id/9zufnGuaLX
43303264454,Ariona - Vest Wanita Qinara,"198,0RB",36,Ariona Official Shop,15%,Rp29.700,https://shopee.co.id/product/144611758/43303264454,https://s.shopee.co.id/8V5s0W0IOG
51104700509,Ariona - Tunik Wanita Erinna,"445,5RB",206,Ariona Official Shop,15%,Rp66.825,https://shopee.co.id/product/144611758/51104700509,https://s.shopee.co.id/8KmRoD0vjF
29378780057,Ariona - Set Tunik Lace Eshana,"214,0RB",48,Ariona Official Shop,15%,Rp32.100,https://shopee.co.id/product/144611758/29378780057,https://s.shopee.co.id/8AT1bu1Z4E
43026064963,Ariona - Kaos Oversize Wanita Casual Daily Damira  Basic,"196,0RB",57,Ariona Official Shop,15%,Rp29.403,https://shopee.co.id/product/144611758/43026064963,https://s.shopee.co.id/809bPb2CPD
43453324335,Ariona - Kemeja Wanita Printing Oversize Leora,"337,5RB",24,Ariona Official Shop,15%,Rp50.625,https://shopee.co.id/product/144611758/43453324335,https://s.shopee.co.id/9ALYnjxl2S
50055905444,Ariona - Kemeja Stripe Mazaya Top,"276,2RB",5,Ariona Official Shop,15%,Rp41.432,https://shopee.co.id/product/144611758/50055905444,https://s.shopee.co.id/9028bQyONR
52654705319,Ariona - Kemeja Lace Wanita Carmelia Top,"296,0RB",46,Ariona Official Shop,15%,Rp44.402,https://shopee.co.id/product/144611758/52654705319,https://s.shopee.co.id/8piiP7z1iQ
40353287457,Ariona - Kemeja Wanita Printing Tasha Top,"328,5RB",7,Ariona Official Shop,15%,Rp49.275,https://shopee.co.id/product/144611758/40353287457,https://s.shopee.co.id/8fPICozf3P
25571635682,Ariona - Kemeja basic Sabilla Top,"122,5RB",144,Ariona Official Shop,15%,Rp18.375,https://shopee.co.id/product/144611758/25571635682,https://s.shopee.co.id/7AaUQ45N68
26128156180,Ariona - One Set Raya Audrey,"470,0RB",68,Ariona Official Shop,15%,Rp70.500,https://shopee.co.id/product/144611758/26128156180,https://s.shopee.co.id/70H4Dl60R7
51554684841,Ariona - Vest Lace Ghea,"267,3RB",190,Ariona Official Shop,15%,Rp40.095,https://shopee.co.id/product/144611758/51554684841,https://s.shopee.co.id/6pxe1S6dm6
43454738430,Ariona - Celana Wanita Barrel  Pants Serena,"259,2RB",30,Ariona Official Shop,15%,Rp38.880,https://shopee.co.id/product/144611758/43454738430,https://s.shopee.co.id/6feDp97H75
25924682827,Ariona - Tunik salur Haniya,"250,0RB",181,Ariona Official Shop,15%,Rp37.500,https://shopee.co.id/product/144611758/25924682827,https://s.shopee.co.id/7pqBDI2pkK
40253289996,Ariona - Vest Wanita Wanda,"265,5RB",11,Ariona Official Shop,15%,Rp39.825,https://shopee.co.id/product/144611758/40253289996,https://s.shopee.co.id/7fWl0z3T5J
