ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
27202938831,"ASJAF - Gamis Salur Premium Quality bahan Rayon Premium dengan karet pada pergelangan, Busui Friendly dan memiliki 3 kancing aktif yang dapat di buka (Gamis Salur Sorayah by Asjaf Collection)","141,8RB",150,Asjaf Official Store ​,9%,Rp12.762,https://shopee.co.id/product/444341672/27202938831,https://s.shopee.co.id/6pxkTTpas1
28017089695,ASJAF - Gamis Bordir Super Premium Quality Bahan Rayon Premium Jahitan Super Rapi dengan Bordir Asli Super Halus Nyaman Adem dan Stylish ( Gamis Bordir ARUMY by Asjaf Collection ),"238,9RB",61,Asjaf Official Store ​,9%,Rp21.501,https://shopee.co.id/product/444341672/28017089695,https://s.shopee.co.id/70HAfmoxX4
27008244183,ASJAF - Dress Arab Combinasi Fuji Leopard Dress Rayon Premium Ori Model Kekinian Karet Dada Plus Pita Super Premium Class ( Dress Faniyah by Asjaf Collection ),"98,7RB",84,Asjaf Official Store ​,8%,Rp7.896,https://shopee.co.id/product/444341672/27008244183,https://s.shopee.co.id/7Aaas5oKC7
26373581282,ASJAF - Mukena Travel Putih Polos Super Premium Class Bahan Rayon Super Lembut Tebal Adem Nyaman ( Mukena Atas Bawah Putihku by Asjaf Collection ),"118,8RB",24,Asjaf Official Store ​,9%,Rp10.692,https://shopee.co.id/product/444341672/26373581282,https://s.shopee.co.id/3VhIVM2HdQ
25137960138,ASJAF - Mukena Travel Motif Premium Quality Bahan Rayon Bali Premium Size Jumbo Nyaman Adem Halus Lucu ( Mukena Motif Lakshmi by Asjaf Collection ),"118,3RB",105,Asjaf Official Store ​,6%,Rp7.098,https://shopee.co.id/product/444341672/25137960138,https://s.shopee.co.id/3LNsJ32uyP
28452717059,"ASJAF - Mukena Travel Batik Cap Lawasan Bahan Rayon Super Premium Size Jumbo Nyaman, Adem (Mukena Batik Lawasan Cap Kelengan by Asjaf Collection)","329,3RB",0,Asjaf Official Store ​,6%,Rp19.757,https://shopee.co.id/product/444341672/28452717059,https://s.shopee.co.id/3qK8ty10xW
26173559779,ASJAF - Mukena Terusan Travel Putih Polos Super Premium Class Bahan Rayon Super Lembut Tebal Adem Nyaman ( Mukena Terusan Putihku by Asjaf Collection ),"118,8RB",84,Asjaf Official Store ​,6%,Rp7.128,https://shopee.co.id/product/444341672/26173559779,https://s.shopee.co.id/3g0ihf1eIV
49602766813,ASJAF - Daster Aleesha Floral Series Rayon Jumbo Motif Digital Print Adem Lembut Busui Friendly Wanita Dress Panjang,"108,2RB",8,Asjaf Official Store ​,12%,Rp12.990,https://shopee.co.id/product/444341672/49602766813,https://s.shopee.co.id/2qRbi84ozM
58104715241,ASKARA - Pashmina Hijab Rayon Spandex Cool Tech Lembut dan Adem,"61,9RB",804,Askara Label Official Store,7%,Rp4.331,https://shopee.co.id/product/1637543116/58104715241,https://s.shopee.co.id/2g8BVp5SKL
49254735929,ASKARA - Pashmina Rayon Hijab Cool Tech Lembut Adem Dan Tidak Gerah,"61,6RB",117,Askara Label Official Store,7%,Rp4.312,https://shopee.co.id/product/1637543116/49254735929,https://s.shopee.co.id/3B4S6k3YJS
