ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
25347490037,Audina Salma Khimar Instan Syari Non Pad bahan Ceruty Premium,"92,8RB",2RB+,Audina Official Store,9%,Rp8.354,https://shopee.co.id/product/1492082356/25347490037,https://s.shopee.co.id/W3gwEbyBY
25002536530,Milyarda Hijab Bergo Maudy Jilbab Instan Syari Olahraga Sport,"51,5RB",10RB+,Milyarda Hijab Official Store,5%,Rp2.575,https://shopee.co.id/product/2203316/25002536530,https://s.shopee.co.id/LkGjvcbWX
29685508129,Audina Safa Bergo Pad Bahan Jersey Premium,"125,7RB",1RB+,Audina Official Store,10%,Rp12.566,https://shopee.co.id/product/1492082356/29685508129,https://s.shopee.co.id/BQqXcdErW
43028479580,Audina Alana Abaya Dress Anti UV Set Khimar Syari Ceruty Premium One Set Gamis Haji dan Umroh Simple Wudhu Friendly,"286,8RB",157,Audina Official Store,9%,Rp25.815,https://shopee.co.id/product/1492082356/43028479580,https://s.shopee.co.id/17QLJdsCV
41923889597,Audina Alana Dress Abaya Anti UV Gamis Haji & Umroh (Abaya Saja),"204,2RB",646,Audina Official Store,9%,Rp18.375,https://shopee.co.id/product/1492082356/41923889597,https://s.shopee.co.id/2VolJuUM80
51605054569,Audina Zahra Khimar Bandana Instan Syari Hijab Non Pad Bahan Ceruty Premium [Khimar Saja],"90,1RB",37,Audina Official Store,9%,Rp8.105,https://shopee.co.id/product/1492082356/51605054569,https://s.shopee.co.id/2LVL7bUzSz
28035504846,Audina Safa Bergo Soft Pad Bahan Jersey Premium,"121,4RB",318,Audina Official Store,10%,Rp12.138,https://shopee.co.id/product/1492082356/28035504846,https://s.shopee.co.id/2BBuvIVcny
57209742983,Audina Khimar Niqab Set Salma Khimar dan Cadar Tali 2 Layer Bahan Ceruty Premium,"116,3RB",3,Audina Official Store,9%,Rp10.465,https://shopee.co.id/product/1492082356/57209742983,https://s.shopee.co.id/20sUizWG8x
28288173037,Audina Aisha Khimar Non Dagu Bahan Pleated Knit Premium Adem Dan Nyaman,"138,1RB",178,Audina Official Store,10%,Rp13.813,https://shopee.co.id/product/1492082356/28288173037,https://s.shopee.co.id/1qZ4WgWtTw
53652997803,Audina Elyna Hijab French Khimar Bandana Instan Syari Berbahan Jersey Premium,"133,8RB",51,Audina Official Store,9%,Rp12.043,https://shopee.co.id/product/1492082356/53652997803,https://s.shopee.co.id/1gFeKNXWov
26929051457,Audina Aisha Khimar Syari Instan Menutup Dagu Bahan Pleated Knit Premium,"155,6RB",249,Audina Official Store,10%,Rp15.556,https://shopee.co.id/product/1492082356/26929051457,https://s.shopee.co.id/1VwE84YA9u
46056676547,Audina Aluna Abaya Dress Anti UV Set Khimar Syari Ceruty Premium One Set Gamis Haji dan Umroh Simple Wudhu Friendly,"317,3RB",13,Audina Official Store,9%,Rp28.561,https://shopee.co.id/product/1492082356/46056676547,https://s.shopee.co.id/1LcnvlYnUt
