ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
28528827129,Hijab Kerudung Motif Segi Empat - Premium Eksklusif Voal Celesti Silk - Awaninda Xaviera Series,"245,7RB",3,AWANINDA Official Store,9%,Rp22.113,https://shopee.co.id/product/1466332703/28528827129,https://s.shopee.co.id/50W6IuOpgF
28028831509,Scarf Segi Empat Motif – Hijab Kerudung Premium Eksklusif Voal Celesti Silk - Awaninda Arsya Series,"245,0RB",12,AWANINDA Official Store,9%,Rp22.050,https://shopee.co.id/product/1466332703/28028831509,https://s.shopee.co.id/2qRbivX54q
24943728809,Scarf Segi Empat Motif – Hijab Kerudung Premium Eksklusif Voal Tryspan - Awaninda Surien Series,"259,0RB",3,AWANINDA Official Store,9%,Rp23.310,https://shopee.co.id/product/1466332703/24943728809,https://s.shopee.co.id/2g8BWcXiPp
25592397789,Scarf Segi Empat Motif Premium Hijab Kerudung Voal Premium Celesti Silk - Awaninda Aisyah Series,"245,7RB",13,AWANINDA Official Store,9%,Rp22.113,https://shopee.co.id/product/1466332703/25592397789,https://s.shopee.co.id/3B4S7XVoOw
28128841654,Hijab Segi Empat Motif Premium Scarf Kerudung Voal Celesti Silk - Awaninda Siena Series,"245,7RB",3,AWANINDA Official Store,9%,Rp22.113,https://shopee.co.id/product/1466332703/28128841654,https://s.shopee.co.id/30l1vEWRjv
24042637744,Kerudung Segi Empat Motif Premium Scarf Hijab Voal Tryspan - Awaninda Ladiva Series,"237,7RB",2,AWANINDA Official Store,9%,Rp21.393,https://shopee.co.id/product/1466332703/24042637744,https://s.shopee.co.id/3VhIW9UXj2
24242402725,Awaninda - Scarf Motif Premium Hijab Kerudung Segi Empat - Voal Celesti Silk - Arsyi Series,"245,7RB",5,AWANINDA Official Store,9%,Rp22.113,https://shopee.co.id/product/1466332703/24242402725,https://s.shopee.co.id/3LNsJqVB41
13597468446,Ayu by Ayu Lestari - The Cotton Series,"149,0RB",327,Ayu by Ayu Lestari Official Shop,7%,Rp10.430,https://shopee.co.id/product/288182331/13597468446,https://s.shopee.co.id/3qK8ulTH38
25676520350,Ayu by Ayu Lestari - Fiorella Series,"199,0RB",382,Ayu by Ayu Lestari Official Shop,7%,Rp13.930,https://shopee.co.id/product/288182331/25676520350,https://s.shopee.co.id/3g0iiSTuO7
21990910141,Ayu By Ayu Lestari - The Gradient Series,"149,0RB",229,Ayu by Ayu Lestari Official Shop,7%,Rp10.430,https://shopee.co.id/product/288182331/21990910141,https://s.shopee.co.id/1VwE8Tc9mi
19038908660,Ayu by Ayu Lestari - El'Lise Series,"199,0RB",218,Ayu by Ayu Lestari Official Shop,7%,Rp13.930,https://shopee.co.id/product/288182331/19038908660,https://s.shopee.co.id/1LcnwAcn7h
20850541309,Ayu by Ayu Lestari - Villé in Palma,"199,0RB",116,Ayu by Ayu Lestari Official Shop,7%,Rp13.930,https://shopee.co.id/product/288182331/20850541309,https://s.shopee.co.id/1qZ4X5at6o
21094235230,Ayu by Ayu Lestari X Olla Ramlan - Autogram Series,"149,0RB",183,Ayu by Ayu Lestari Official Shop,7%,Rp10.430,https://shopee.co.id/product/288182331/21094235230,https://s.shopee.co.id/1gFeKmbWRn
19950554884,Ayu by Ayu Lestari - Villé Series in Treasury,"199,0RB",84,Ayu by Ayu Lestari Official Shop,7%,Rp13.930,https://shopee.co.id/product/288182331/19950554884,https://s.shopee.co.id/2BBuvhZcQu
26988913757,Ayu by Ayu Lestari - The Sea Shore Shiny Shirt,"539,8RB",12,Ayu by Ayu Lestari Official Shop,6%,Rp32.385,https://shopee.co.id/product/288182331/26988913757,https://s.shopee.co.id/20sUjOaFlt
