ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
9914786807,AZZAR Meera Maxi Dress Floral in Yellow,"182,3RB",2,AZZAR Official Shop,10%,Rp18.225,https://shopee.co.id/product/190631733/9914786807,https://s.shopee.co.id/AKXcexW5Pt
25163226676,AZZAR Jaya Maxi Dress in Yellow,"174,8RB",0,AZZAR Official Shop,10%,Rp17.475,https://shopee.co.id/product/190631733/25163226676,https://s.shopee.co.id/AAECSeWiks
4977128916,AZZAR Ketki Maxi Dress In Black And Silver,"162,3RB",15,AZZAR Official Shop,10%,Rp16.225,https://shopee.co.id/product/190631733/4977128916,https://s.shopee.co.id/9zumGLXM5r
26988266786,Azzar - Nani Pants In Beige,"122,2RB",2,AZZAR Official Shop,13%,Rp15.880,https://shopee.co.id/product/190631733/26988266786,https://s.shopee.co.id/9pbM42XzQq
22574336689,AZZAR Vani Assymetrical Blouse in Grey Green Glitter,"75,8RB",2,AZZAR Official Shop,10%,Rp7.580,https://shopee.co.id/product/190631733/22574336689,https://s.shopee.co.id/9fHvrjYclp
9037127631,AZZAR Sandra Tunic in Beige,"106,3RB",1,AZZAR Official Shop,10%,Rp10.625,https://shopee.co.id/product/190631733/9037127631,https://s.shopee.co.id/9UyVfQZG6o
6579231416,AZZAR Ziva Assymetrical Blouse In Pink Glitter,"75,8RB",11,AZZAR Official Shop,10%,Rp7.580,https://shopee.co.id/product/190631733/6579231416,https://s.shopee.co.id/9Kf5T7ZtRn
9712579317,AZZAR Vesta Pants in Beige,"122,2RB",2,AZZAR Official Shop,10%,Rp12.215,https://shopee.co.id/product/190631733/9712579317,https://s.shopee.co.id/6VKu5ukgCG
5015346559,Azzar - Arda Tunic In Navy,"94,8RB",3,AZZAR Official Shop,10%,Rp9.475,https://shopee.co.id/product/190631733/5015346559,https://s.shopee.co.id/6L1TtblJXF
16893820229,AZZAR Ketki Maxi Dress In Black And Gold,"187,3RB",3,AZZAR Official Shop,10%,Rp18.725,https://shopee.co.id/product/190631733/16893820229,https://s.shopee.co.id/6Ai3hIlwsE
5855284583,Orah Blouse In Grey Glitter - Azzar,"79,8RB",9,AZZAR Official Shop,10%,Rp7.980,https://shopee.co.id/product/190631733/5855284583,https://s.shopee.co.id/60OdUzmaDD
21882756655,Azzar Jana Blouse In Blue,"59,8RB",2,AZZAR Official Shop,10%,Rp5.980,https://shopee.co.id/product/190631733/21882756655,https://s.shopee.co.id/5q5DIgnDYC
13821457978,AZZAR Sefa Assymetrical Blouse in Grey,"51,8RB",4,AZZAR Official Shop,10%,Rp5.180,https://shopee.co.id/product/190631733/13821457978,https://s.shopee.co.id/5fln6NnqtB
5308570432,Azzar - Emma Maxi Dress In Off White With Lace,"149,8RB",2,AZZAR Official Shop,10%,Rp14.980,https://shopee.co.id/product/190631733/5308570432,https://s.shopee.co.id/5VSMu4oUEA
4169387243,AZZAR Misty Blouse in Grey,"59,8RB",3,AZZAR Official Shop,10%,Rp5.980,https://shopee.co.id/product/190631733/4169387243,https://s.shopee.co.id/5L8whlp7Z9
23449507458,AZZAR Kiera Tunic in Blue,"107,3RB",1,AZZAR Official Shop,10%,Rp10.725,https://shopee.co.id/product/190631733/23449507458,https://s.shopee.co.id/7pqHgMfbUe
6869668356,AZZAR Puji Maxi Dress In Brown Print,"199,8RB",0,AZZAR Official Shop,10%,Rp19.975,https://shopee.co.id/product/190631733/6869668356,https://s.shopee.co.id/7fWrU3gEpd
18177150725,AZZAR Tunic Hamara Blue Print,"124,8RB",15,AZZAR Official Shop,10%,Rp12.475,https://shopee.co.id/product/190631733/18177150725,https://s.shopee.co.id/7VDRHkgsAc
3715435249,Azzar - Kirvi Tunic In Pink Print,"94,8RB",3,AZZAR Official Shop,10%,Rp9.475,https://shopee.co.id/product/190631733/3715435249,https://s.shopee.co.id/7Ku15RhVVb
9814523930,AZZAR Aiani Blouse in Green,"59,8RB",4,AZZAR Official Shop,10%,Rp5.980,https://shopee.co.id/product/190631733/9814523930,https://s.shopee.co.id/7Aaat8i8qa
23134992968,Isa Tunic In Black Gliter - Azzar,"99,8RB",8,AZZAR Official Shop,10%,Rp9.975,https://shopee.co.id/product/190631733/23134992968,https://s.shopee.co.id/70HAgpimBZ
22350839541,Azzar Jana Blouse In Beige,"59,8RB",0,AZZAR Official Shop,10%,Rp5.980,https://shopee.co.id/product/190631733/22350839541,https://s.shopee.co.id/6pxkUWjPWY
6678712869,AZZAR Vara Assymetrical Tunic in Peach,"137,3RB",6,AZZAR Official Shop,10%,Rp13.725,https://shopee.co.id/product/190631733/6678712869,https://s.shopee.co.id/6feKIDk2rX
43407024674,Azzar - Tumia Pants In Grey,"122,2RB",0,AZZAR Official Shop,13%,Rp15.880,https://shopee.co.id/product/190631733/43407024674,https://s.shopee.co.id/3qK8v0upc0
6569374293,AZZAR Zuri Tunic in Navy,"124,8RB",2,AZZAR Official Shop,10%,Rp12.475,https://shopee.co.id/product/190631733/6569374293,https://s.shopee.co.id/3g0iihvSwz
42057024535,Azzar - Hania Tunic In Grey,"89,8RB",2,AZZAR Official Shop,10%,Rp8.975,https://shopee.co.id/product/190631733/42057024535,https://s.shopee.co.id/3VhIWOw6Hy
18242402380,Azzar Orah Blouse Wanita Glitter 115318390,"399,0RB",0,Matahari,5%,Rp19.950,https://shopee.co.id/product/253017647/18242402380,https://s.shopee.co.id/3LNsK5wjcx
22050841638,Azzar Jana Blouse In Pink,"59,8RB",0,AZZAR Official Shop,10%,Rp5.980,https://shopee.co.id/product/190631733/22050841638,https://s.shopee.co.id/3B4S7mxMxw
